row_label_raw,row_label_full,col_0,Land use rights VND,Buildings and structures VND,Total VND,numeric__Land use rights VND,numeric__Buildings and structures VND,numeric__Total VND
Cost,Cost,Cost,Cost,Cost,Cost,,,
Opening balance,Opening balance,Opening balance,"12,072,940,855","33,789,688,191","45,862,629,046",,,
Transfer from tangible fixed assets and intangible fixed assets,Transfer from tangible fixed assets and intangible fixed assets,Transfer from tangible fixed assets and intangible fixed assets,"10,676,441,778","55,825,529,637","66,501,971,415",,,
Closing balance,Closing balance,Closing balance,"22,749,382,633","89,615,217,828","112,364,600,461",,,
Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,,,
Opening balance,Opening balance,Opening balance,"4,845,294,820","17,348,452,537","22,193,747,357",,,
Charge for the year,Charge for the year,Charge for the year,"445,659,041","7,129,865,676","7,575,524,717",,,
Transfer from tangible fixed assets and intangible fixed assets,Transfer from tangible fixed assets and intangible fixed assets,Transfer from tangible fixed assets and intangible fixed assets,"4,450,099,553","30,064,430,896","34,514,530,449",,,
Closing balance,Closing balance,Closing balance,"9,741,053,414","54,542,749,109","64,283,802,523",,,
Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,,,
Opening balance,Opening balance,Opening balance,"7,227,646,035","16,441,235,654","23,668,881,689",,,
Closing balance,Closing balance,Closing balance,"13,008,329,219","35,072,468,719","48,080,797,938",,,
