row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócvà thiết bịVND,Phương tiệnvận chuyểnVND,Thiết bịquản lýVND,TổngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócvà thiết bịVND,numeric__Phương tiệnvận chuyểnVND,numeric__Thiết bịquản lýVND,numeric__TổngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,583.608.993.524,2.902.068.412.792,54.864.941.105,124.130.979.373,3.664.673.326.794,583608993524.0,2902068412792.0,54864941105.0,124130979373.0,3664673326794.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,4.573.971.952,85.000.000,3.021.346.273,7.680.318.225,,4573971952.0,85000000.0,3021346273.0,7680318225.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,-,11.650.573.093,-,424.654.296,12.075.227.389,,11650573093.0,,424654296.0,12075227389.0
Chuyển sang bắt động sản đầu tư,Nguyên giá > Chuyển sang bắt động sản đầu tư,Chuyển sang bắt động sản đầu tư,(55.825.529.637),-,-,-,(55.825.529.637),-55825529637.0,,,,-55825529637.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,-,-,(1.570.416.818),(1.570.416.818),,,,-1570416818.0,-1570416818.0
Các khoản điều chỉnh khác,Nguyên giá > Các khoản điều chỉnh khác,Các khoản điều chỉnh khác,(8.877.305),-,-,-,(8.877.305),-8877305.0,,,,-8877305.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,527.774.586.582,2.918.292.957.837,54.949.941.105,126.006.563.124,3.627.024.048.648,527774586582.0,2918292957837.0,54949941105.0,126006563124.0,3627024048648.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,469.243.766.274,2.627.436.749.029,52.407.244.503,107.886.146.884,3.256.973.906.690,469243766274.0,2627436749029.0,52407244503.0,107886146884.0,3256973906690.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,12.841.141.386,85.529.100.591,1.260.268.410,7.393.378.761,107.023.889.148,12841141386.0,85529100591.0,1260268410.0,7393378761.0,107023889148.0
Chuyển sang bắt động sản đầu tư,Giá trị hao mòn lũy kế > Chuyển sang bắt động sản đầu tư,Chuyển sang bắt động sản đầu tư,(30.064.430.896),-,-,-,(30.064.430.896),-30064430896.0,,,,-30064430896.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,-,-,(1.570.416.818),(1.570.416.818),,,,-1570416818.0,-1570416818.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,452.020.476.764,2.712.965.849.620,53.667.512.913,113.709.108.827,3.332.362.948.124,452020476764.0,2712965849620.0,53667512913.0,113709108827.0,3332362948124.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,114.365.227.250,274.631.663.763,2.457.696.602,16.244.832.489,407.699.420.104,114365227250.0,274631663763.0,2457696602.0,16244832489.0,407699420104.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,75.754.109.818,205.327.108.217,1.282.428.192,12.297.454.297,294.661.100.524,75754109818.0,205327108217.0,1282428192.0,12297454297.0,294661100524.0
