row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Tổng VND,numeric__Vốn cổ phần VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Tổng VND
Số dư tại ngày 1 tháng 1 năm 2022,Số dư tại ngày 1 tháng 1 năm 2022,Số dư tại ngày 1 tháng 1 năm 2022,6.412.811.860.000,760.819.802.040,11.792.863.811.240,18.966.495.473.280,6412811860000.0,760819802040.0,11792863811240.0,18966495473280.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,4.559.656.824.657,4.559.656.824.657,,,4559656824657.0,4559656824657.0
Cổ tức bằng tiền (Thuyết minh 27),Cổ tức bằng tiền (Thuyết minh 27),Cổ tức bằng tiền (Thuyết minh 27),-,-,(3.206.405.930.000),(3.206.405.930.000),,,-3206405930000.0,-3206405930000.0
"Trích quỹ khen thưởng, phúc lợi (Thuyết minh 22)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 22)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 22)",-,-,(38.088.165.612),(38.088.165.612),,,-38088165612.0,-38088165612.0
Trích quỹ công tác xã hội,Trích quỹ công tác xã hội,Trích quỹ công tác xã hội,-,-,(34.710.800.000),(34.710.800.000),,,-34710800000.0,-34710800000.0
Số dư tại ngày 1 tháng 1 năm 2023,Số dư tại ngày 1 tháng 1 năm 2023,Số dư tại ngày 1 tháng 1 năm 2023,6.412.811.860.000,760.819.802.040,13.073.315.740.285,20.246.947.402.325,6412811860000.0,760819802040.0,13073315740285.0,20246947402325.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,4.287.610.598.401,4.287.610.598.401,,,4287610598401.0,4287610598401.0
Cổ phiếu thưởng (Thuyết minh 27),Cổ phiếu thưởng (Thuyết minh 27),Cổ phiếu thưởng (Thuyết minh 27),6.412.811.860.000,-,(6.412.811.860.000),-,6412811860000.0,,-6412811860000.0,
Cổ tức bằng tiền (Thuyết minh 27),Cổ tức bằng tiền (Thuyết minh 27),Cổ tức bằng tiền (Thuyết minh 27),-,-,(2.885.765.337.000),(2.885.765.337.000),,,-2885765337000.0,-2885765337000.0
"Trích quỹ khen thưởng, phúc lợi (Thuyết minh 22)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 22)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 22)",-,-,(37.374.000.000),(37.374.000.000),,,-37374000000.0,-37374000000.0
Điều chính quỹ khen thưởng phúc lợi (Thuyết minh 22),Điều chính quỹ khen thưởng phúc lợi (Thuyết minh 22),Điều chính quỹ khen thưởng phúc lợi (Thuyết minh 22),-,-,508.189.026,508.189.026,,,508189026.0,508189026.0
Trích quỹ công tác xã hội,Trích quỹ công tác xã hội,Trích quỹ công tác xã hội,-,-,(18.300.000.000),(18.300.000.000),,,-18300000000.0,-18300000000.0
Số dư tại ngày 31 tháng 12 năm 2023,Số dư tại ngày 31 tháng 12 năm 2023,Số dư tại ngày 31 tháng 12 năm 2023,12.825.623.720.000,760.819.802.040,8.007.183.330.712,21.593.626.852.752,12825623720000.0,760819802040.0,8007183330712.0,21593626852752.0
