row_label_raw,row_label_full,col_0,Transaction value,Transaction value_1,numeric__Transaction value,numeric__Transaction value_1
,,,2023VND,2022VND,,
Northern Sai Gon Beer Trading Joint Stock Company,Northern Sai Gon Beer Trading Joint Stock Company,Northern Sai Gon Beer Trading Joint Stock Company,Northern Sai Gon Beer Trading Joint Stock Company,Northern Sai Gon Beer Trading Joint Stock Company,,
Sales of raw materials,Sales of raw materials,Sales of raw materials,"34,704,600","70,755,000",,
Purchases of merchandise goods,Purchases of merchandise goods,Purchases of merchandise goods,"807,339,540","1,243,124,790",,
Support for selling expenses,Support for selling expenses,Support for selling expenses,"197,784,408,232","191,718,969,649",,
Promotion goods expenses,Promotion goods expenses,Promotion goods expenses,"6,260,131,758","11,681,236,165",,
Dividends received,Dividends received,Dividends received,"94,432,386,255","77,549,065,667",,
Other transactions,Other transactions,Other transactions,"509,022,061","5,486,123,466",,
Sai Gon Beer Bac Trung Bo Trading Joint Stock Company,Sai Gon Beer Bac Trung Bo Trading Joint Stock Company,Sai Gon Beer Bac Trung Bo Trading Joint Stock Company,Sai Gon Beer Bac Trung Bo Trading Joint Stock Company,Sai Gon Beer Bac Trung Bo Trading Joint Stock Company,,
Sales of raw materials,Sales of raw materials,Sales of raw materials,"64,110,513",-,,
Purchases of merchandise goods,Purchases of merchandise goods,Purchases of merchandise goods,"12,225,760","14,191,940",,
Support for selling expenses,Support for selling expenses,Support for selling expenses,"129,827,645,475","139,262,301,339",,
Promotion goods expenses,Promotion goods expenses,Promotion goods expenses,"5,886,565,141","9,973,014,987",,
Dividends received,Dividends received,Dividends received,"59,339,679,444","26,654,352,419",,
Other transactions,Other transactions,Other transactions,"4,839,639,828","4,419,697,297",,
Saigon Beer Center Trading Joint Stock Company,Saigon Beer Center Trading Joint Stock Company,Saigon Beer Center Trading Joint Stock Company,Saigon Beer Center Trading Joint Stock Company,Saigon Beer Center Trading Joint Stock Company,,
Sales of raw materials,Sales of raw materials,Sales of raw materials,"7,261,800","51,358,669",,
Purchases of packaging materials,Purchases of packaging materials,Purchases of packaging materials,"17,220,000",-,,
Purchases of merchandise goods,Purchases of merchandise goods,Purchases of merchandise goods,"5,370,399,760","5,230,549,010",,
Support for selling expenses,Support for selling expenses,Support for selling expenses,"336,295,373,462","331,729,392,679",,
Promotion goods expenses,Promotion goods expenses,Promotion goods expenses,"10,364,524,210","13,112,706,784",,
Dividends received,Dividends received,Dividends received,"93,133,473,353","28,772,816,515",,
Other transactions,Other transactions,Other transactions,"3,102,062,157","3,228,273,458",,
Saigon Beer Mien Trung Trading Joint Stock Company,Saigon Beer Mien Trung Trading Joint Stock Company,Saigon Beer Mien Trung Trading Joint Stock Company,Saigon Beer Mien Trung Trading Joint Stock Company,Saigon Beer Mien Trung Trading Joint Stock Company,,
Sales of raw materials,Sales of raw materials,Sales of raw materials,-,"30,549,803",,
Purchases of merchandise goods,Purchases of merchandise goods,Purchases of merchandise goods,"340,459,480","102,439,960",,
Support for selling expenses,Support for selling expenses,Support for selling expenses,"89,370,293,882","115,393,641,398",,
Promotion goods expenses,Promotion goods expenses,Promotion goods expenses,"8,804,028,306","7,565,726,699",,
Other transactions,Other transactions,Other transactions,"1,474,821,471","929,586,171",,
Sai Gon Beer Tay Nguyen Trading Joint Stock Company,Sai Gon Beer Tay Nguyen Trading Joint Stock Company,Sai Gon Beer Tay Nguyen Trading Joint Stock Company,Sai Gon Beer Tay Nguyen Trading Joint Stock Company,Sai Gon Beer Tay Nguyen Trading Joint Stock Company,,
Purchases of merchandise goods,Purchases of merchandise goods,Purchases of merchandise goods,-,"52,249,650",,
Support for selling expenses,Support for selling expenses,Support for selling expenses,"151,034,289,414","149,416,403,771",,
Promotion goods expenses,Promotion goods expenses,Promotion goods expenses,"7,943,370,913","8,936,123,242",,
Dividends received,Dividends received,Dividends received,"62,184,664,306","33,075,752,788",,
Other transactions,Other transactions,Other transactions,"1,527,312,946","1,798,236,757",,
Saigon Beer Nam Trung Bo Trading Joint Stock Company,Saigon Beer Nam Trung Bo Trading Joint Stock Company,Saigon Beer Nam Trung Bo Trading Joint Stock Company,Saigon Beer Nam Trung Bo Trading Joint Stock Company,Saigon Beer Nam Trung Bo Trading Joint Stock Company,,
Provision of services,Provision of services,Provision of services,"635,930,000","1,028,880,000",,
Purchases of merchandise goods,Purchases of merchandise goods,Purchases of merchandise goods,"12,678,640","15,700,600",,
Support for selling expenses,Support for selling expenses,Support for selling expenses,"175,263,752,257","200,136,392,849",,
Promotion goods expenses,Promotion goods expenses,Promotion goods expenses,"10,288,761,594","10,458,887,370",,
Dividends received,Dividends received,Dividends received,"134,304,252,099","89,351,787,857",,
Other transactions,Other transactions,Other transactions,"4,769,158,818","1,681,955,335",,
