row_label_raw,row_label_full,Company name,31/12/2023 > % of equity owned and voting right,31/12/2023 > Cost VND,31/12/2023 > Fair value VND,31/12/2023 > Allowance VND,1/1/2023 > % of equity owned and voting right,1/1/2023 > Cost VND,1/1/2023 > Fair value VND,1/1/2023 > Allowance VND,numeric__31/12/2023 > % of equity owned and voting right,numeric__31/12/2023 > Cost VND,numeric__31/12/2023 > Fair value VND,numeric__31/12/2023 > Allowance VND,numeric__1/1/2023 > % of equity owned and voting right,numeric__1/1/2023 > Cost VND,numeric__1/1/2023 > Fair value VND,numeric__1/1/2023 > Allowance VND
Sai Gon Beer Tay Nguyen Trading Joint Stock Company,Sai Gon Beer Tay Nguyen Trading Joint Stock Company,Sai Gon Beer Tay Nguyen Trading Joint Stock Company,90.00%,"36,541,448,653",(*),-,90.00%,"36,541,448,653",(*),-,90.0,,,,90.0,,,
Saigon Beer Nam Trung Bo Trading Joint Stock Company,Saigon Beer Nam Trung Bo Trading Joint Stock Company,Saigon Beer Nam Trung Bo Trading Joint Stock Company,90.14%,"55,799,775,209",(*),-,90.14%,"55,799,775,209",(*),-,90.14,,,,90.14,,,
Sai Gon Beer Eastern Trading Joint Stock Company,Sai Gon Beer Eastern Trading Joint Stock Company,Sai Gon Beer Eastern Trading Joint Stock Company,90.68%,"36,362,195,948",(*),-,90.68%,"36,362,195,948",(*),-,90.68,,,,90.68,,,
Song Tien Saigon Beer Trading Joint Stock Company,Song Tien Saigon Beer Trading Joint Stock Company,Song Tien Saigon Beer Trading Joint Stock Company,90.00%,"36,265,364,767",(*),-,90.00%,"36,265,364,767",(*),-,90.0,,,,90.0,,,
Saigon Song Hau Beer Trading Joint Stock Company,Saigon Song Hau Beer Trading Joint Stock Company,Saigon Song Hau Beer Trading Joint Stock Company,90.00%,"36,798,955,472",(*),-,90.00%,"36,798,955,472",(*),-,90.0,,,,90.0,,,
"Sa Be Co Mechanical Co., Ltd","Sa Be Co Mechanical Co., Ltd","Sa Be Co Mechanical Co., Ltd",100%,"59,365,663,690",(*),-,100%,"59,365,663,690",(*),-,1.0,,,,1.0,,,
Sai Gon Beer Northeast Trading Joint Stock Company,Sai Gon Beer Northeast Trading Joint Stock Company,Sai Gon Beer Northeast Trading Joint Stock Company,90.45%,"36,000,000,000",(*),-,90.45%,"36,000,000,000",(*),-,90.45,,,,90.45,,,
Sai Gon - Ha Tinh Beer One Member Company Limited,Sai Gon - Ha Tinh Beer One Member Company Limited,Sai Gon - Ha Tinh Beer One Member Company Limited,100%,"120,000,000,000",(*),-,100%,"120,000,000,000",(*),-,1.0,,,,1.0,,,
Sai Gon Beer Packaging Joint Stock Company,Sai Gon Beer Packaging Joint Stock Company,Sai Gon Beer Packaging Joint Stock Company,76.81%,"55,174,824,506",(*),-,76.81%,"55,174,824,506",(*),-,76.81,,,,76.81,,,
Saigon Beer Company Limited,Saigon Beer Company Limited,Saigon Beer Company Limited,100%,"60,000,000",(*),-,100%,"10,000,000",(*),-,1.0,,,,1.0,,,
Saigon Beer Group Company Limited,Saigon Beer Group Company Limited,Saigon Beer Group Company Limited,100%,"40,000,000,000",(*),-,100%,"40,000,000,000",(*),-,1.0,,,,1.0,,,
Saigon - Lamdong Beer Joint Stock Company,Saigon - Lamdong Beer Joint Stock Company,Saigon - Lamdong Beer Joint Stock Company,52.91%,"105,825,000,000",(*),-,52.91%,"105,825,000,000",(*),-,52.91,,,,52.91,,,
,,,,"3,039,072,394,329",,"(223,793,333,929)",,"2,877,202,995,029",,"(169,268,236,844)",,,,,,,,
