row_label_raw,row_label_full,col_0,Buildings and structures VND,Machinery and equipment VND,Motor vehicles VND,Office equipment VND,Total VND,numeric__Buildings and structures VND,numeric__Machinery and equipment VND,numeric__Motor vehicles VND,numeric__Office equipment VND,numeric__Total VND
Cost,Cost,Cost,Cost,Cost,Cost,Cost,Cost,,,,,
Opening balance,Opening balance,Opening balance,"583,608,993,524","2,902,068,412,792","54,864,941,105","124,130,979,373","3,664,673,326,794",,,,,
Additions,Additions,Additions,-,"4,573,971,952","85,000,000","3,021,346,273","7,680,318,225",,,,,
Transfer from construction in progress,Transfer from construction in progress,Transfer from construction in progress,-,"11,650,573,093",-,"424,654,296","12,075,227,389",,,,,
Transfer to investment properties,Transfer to investment properties,Transfer to investment properties,"(55,825,529,637)",-,-,-,"(55,825,529,637)",,,,,
Disposals,Disposals,Disposals,-,-,-,"(1,570,416,818)","(1,570,416,818)",,,,,
Other adjustments,Other adjustments,Other adjustments,"(8,877,305)",-,-,-,"(8,877,305)",,,,,
Closing balance,Closing balance,Closing balance,"527,774,586,582","2,918,292,957,837","54,949,941,105","126,006,563,124","3,627,024,048,648",,,,,
Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,,,,,
Opening balance,Opening balance,Opening balance,"469,243,766,274","2,627,436,749,029","52,407,244,503","107,886,146,884","3,256,973,906,690",,,,,
Charge for the year,Charge for the year,Charge for the year,"12,841,141,386","85,529,100,591","1,260,268,410","7,393,378,761","107,023,889,148",,,,,
Transfer to investment properties,Transfer to investment properties,Transfer to investment properties,"(30,064,430,896)",-,-,-,"(30,064,430,896)",,,,,
Disposals,Disposals,Disposals,-,-,-,"(1,570,416,818)","(1,570,416,818)",,,,,
Closing balance,Closing balance,Closing balance,"452,020,476,764","2,712,965,849,620","53,667,512,913","113,709,108,827","3,332,362,948,124",,,,,
Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,,,,,
Opening balance,Opening balance,Opening balance,"114,365,227,250","274,631,663,763","2,457,696,602","16,244,832,489","407,699,420,104",,,,,
Closing balance,Closing balance,Closing balance,"75,754,109,818","205,327,108,217","1,282,428,192","12,297,454,297","294,661,100,524",,,,,
