row_label_raw,row_label_full,col_0,Quyềnsử dụng đất (*)VND,Phần mềmmáy vi tínhVND,TổngVND,numeric__Quyềnsử dụng đất (*)VND,numeric__Phần mềmmáy vi tínhVND,numeric__TổngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,917.286.855.722,65.199.120.047,982.485.975.769,917286855722.0,65199120047.0,982485975769.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,613.894.050,613.894.050,,613894050.0,613894050.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,-,8.894.724.929,8.894.724.929,,8894724929.0,8894724929.0
Chuyển sang bất động sản đầu tư,Nguyên giá > Chuyển sang bất động sản đầu tư,Chuyển sang bất động sản đầu tư,(10.676.441.778),-,(10.676.441.778),-10676441778.0,,-10676441778.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,906.610.413.944,74.707.739.026,981.318.152.970,906610413944.0,74707739026.0,981318152970.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,70.266.582.525,64.477.745.752,134.744.328.277,70266582525.0,64477745752.0,134744328277.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,4.044.825.203,2.276.559.647,6.321.384.850,4044825203.0,2276559647.0,6321384850.0
Chuyển sang bất động sản đầu tư,Giá trị hao mòn lũy kế > Chuyển sang bất động sản đầu tư,Chuyển sang bất động sản đầu tư,(4.450.099.553),-,(4.450.099.553),-4450099553.0,,-4450099553.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,69.861.308.175,66.754.305.399,136.615.613.574,69861308175.0,66754305399.0,136615613574.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,847.020.273.197,721.374.295,847.741.647.492,847020273197.0,721374295.0,847741647492.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,836.749.105.769,7.953.433.627,844.702.539.396,836749105769.0,7953433627.0,844702539396.0
