row_label_raw,row_label_full,col_0,Transaction value,Transaction value_1,numeric__Transaction value,numeric__Transaction value_1
,,,2023VND,2022VND,,
Sai Gon - Dong Xuan Beer Alcohol Joint Stock Company,Sai Gon - Dong Xuan Beer Alcohol Joint Stock Company,Sai Gon - Dong Xuan Beer Alcohol Joint Stock Company,Sai Gon - Dong Xuan Beer Alcohol Joint Stock Company,Sai Gon - Dong Xuan Beer Alcohol Joint Stock Company,,
Sales of raw materials,Sales of raw materials,Sales of raw materials,"215,870,750,452","190,444,392,694",,
Provision of services,Provision of services,Provision of services,"377,505,600","377,505,600",,
Purchases of merchandise goods,Purchases of merchandise goods,Purchases of merchandise goods,"517,911,465,700","476,446,204,280",,
Dividends received,Dividends received,Dividends received,"768,525,000","1,537,050,000",,
Other transactions,Other transactions,Other transactions,"50,650,000","83,181,393",,
Saigon - Nghetinh Beer Joint Stock Company,Saigon - Nghetinh Beer Joint Stock Company,Saigon - Nghetinh Beer Joint Stock Company,Saigon - Nghetinh Beer Joint Stock Company,Saigon - Nghetinh Beer Joint Stock Company,,
Sales of raw materials,Sales of raw materials,Sales of raw materials,"124,822,104,015","89,530,373,623",,
Purchases of merchandise goods,Purchases of merchandise goods,Purchases of merchandise goods,"385,953,741,940","310,054,622,310",,
Purchases of raw materials,Purchases of raw materials,Purchases of raw materials,"339,145,091",-,,
Dividends received,Dividends received,Dividends received,"2,873,500,000",-,,
Other transactions,Other transactions,Other transactions,"25,322,442",-,,
Saigon - Songlam Beer Joint Stock Company,Saigon - Songlam Beer Joint Stock Company,Saigon - Songlam Beer Joint Stock Company,Saigon - Songlam Beer Joint Stock Company,Saigon - Songlam Beer Joint Stock Company,,
Sales of raw materials,Sales of raw materials,Sales of raw materials,"555,675,843,668","608,428,863,870",,
Purchases of merchandise goods,Purchases of merchandise goods,Purchases of merchandise goods,"1,621,122,513,990","1,794,654,957,590",,
Purchases of raw materials,Purchases of raw materials,Purchases of raw materials,"226,478,513",-,,
Dividends received,Dividends received,Dividends received,"9,285,000,000","34,045,000,000",,
Other transactions,Other transactions,Other transactions,"208,223,527","410,612,031",,
Sai Gon - Ha Noi Beer Corporation,Sai Gon - Ha Noi Beer Corporation,Sai Gon - Ha Noi Beer Corporation,Sai Gon - Ha Noi Beer Corporation,Sai Gon - Ha Noi Beer Corporation,,
Sales of raw materials,Sales of raw materials,Sales of raw materials,"404,370,437,471","423,117,295,228",,
Purchases of merchandise goods,Purchases of merchandise goods,Purchases of merchandise goods,"1,154,885,859,320","1,230,241,941,110",,
Purchases of raw materials,Purchases of raw materials,Purchases of raw materials,"45,910,050",-,,
Dividends received,Dividends received,Dividends received,"18,760,000,000","28,140,000,000",,
Other transactions,Other transactions,Other transactions,"101,359,520","555,658,508",,
Sai Gon Beer Trading Company Limited,Sai Gon Beer Trading Company Limited,Sai Gon Beer Trading Company Limited,Sai Gon Beer Trading Company Limited,Sai Gon Beer Trading Company Limited,,
Sales of merchandise and finished goods (exclusive of special sales tax),Sales of merchandise and finished goods (exclusive of special sales tax),Sales of merchandise and finished goods (exclusive of special sales tax),"29,618,503,713,233","32,729,556,675,577",,
Provision of services,Provision of services,Provision of services,"24,049,327,476","15,460,872,000",,
Sales of others,Sales of others,Sales of others,"2,126,663,788","5,076,119,830",,
Purchases of merchandise goods,Purchases of merchandise goods,Purchases of merchandise goods,"17,862,210,360","23,417,725,320",,
Purchases of services,Purchases of services,Purchases of services,"21,840,753,600","9,945,603,900",,
Transportation fees,Transportation fees,Transportation fees,"1,562,048,201","1,511,460,924",,
Pallets rental fees,Pallets rental fees,Pallets rental fees,"869,915,091","3,616,272,740",,
Bottles replacement fees,Bottles replacement fees,Bottles replacement fees,"22,179,438,896","11,293,387,310",,
Profits distribution,Profits distribution,Profits distribution,"936,367,215,383","1,054,645,615,955",,
Other transactions,Other transactions,Other transactions,"1,645,226,136","2,163,498,804",,
