row_label_raw,row_label_full,col_0,Tax rate,31/12/2023 VND,1/1/2023 VND,numeric__Tax rate,numeric__31/12/2023 VND,numeric__1/1/2023 VND
Deferred tax assets recognised on:,Deferred tax assets recognised on:,Deferred tax assets recognised on:,Deferred tax assets recognised on:,Deferred tax assets recognised on:,Deferred tax assets recognised on:,,,
Accrued expenses and provisions,Deferred tax assets recognised on: > Accrued expenses and provisions,Accrued expenses and provisions,20%,"68,504,514,000","77,444,159,496",0.2,,
Allowance for diminution in the value of long-term financial investments,Deferred tax assets recognised on: > Allowance for diminution in the value of long-term financial investments,Allowance for diminution in the value of long-term financial investments,20%,"57,185,188,625","56,253,667,686",0.2,,
"Allowance for inventories and long-term tools, supplies and spare parts","Deferred tax assets recognised on: > Allowance for inventories and long-term tools, supplies and spare parts","Allowance for inventories and long-term tools, supplies and spare parts",20%,"11,174,707,725","11,607,277,628",0.2,,
Allowance for doubtful debts,Deferred tax assets recognised on: > Allowance for doubtful debts,Allowance for doubtful debts,20%,-,"1,600,000,000",0.2,,
Total deferred tax assets,Total deferred tax assets,Total deferred tax assets,,"136,864,410,350","146,905,104,810",,,
