row_label_raw,row_label_full,Bên liên quan,Môi quan hệ,Nội dung nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Môi quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,,,,
Bên liên quan khác,Phải trả người bán ngắn hạn > Bên liên quan khác,Bên liên quan khác,Nhân viên Tập đoàn,Nhận chuyển nhượng đất,126.298.368.200,-,,,126298368200.0,
Bên liên quan khác,Phải trả người bán ngắn hạn > Bên liên quan khác,Bên liên quan khác,Nhân viên Tập đoàn,Khác,35.500.000,-,,,35500000.0,
Đất Xanh Miền Nam,Phải trả người bán ngắn hạn > Đất Xanh Miền Nam,Đất Xanh Miền Nam,Công ty liên kết,Mua dịch vụ,7.783.744.458,-,,,7783744458.0,
TỔNG CỘNG,Phải trả người bán ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,,,134.117.612.658,,,,134117612658.0,
Khách hàng ứng trước ngắn hạn,Khách hàng ứng trước ngắn hạn,Khách hàng ứng trước ngắn hạn,Khách hàng ứng trước ngắn hạn,Khách hàng ứng trước ngắn hạn,Khách hàng ứng trước ngắn hạn,Khách hàng ứng trước ngắn hạn,,,,
Đất Xanh Miền Nam,Khách hàng ứng trước ngắn hạn > Đất Xanh Miền Nam,Đất Xanh Miền Nam,Công ty liên kết,Tạm ứng,9.809.021.996,-,,,9809021996.0,
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,,,,
Cá nhân F,Phải trả ngắn hạn khác > Cá nhân F,Cá nhân F,Nhân viên tập đoàn,Thu hộ,27.906.650.000,9.406.650.000,,,27906650000.0,9406650000.0
Đất Xanh Miền Nam,Phải trả ngắn hạn khác > Đất Xanh Miền Nam,Đất Xanh Miền Nam,Công ty liên kết,Ký quỹ,11.580.000.000,-,,,11580000000.0,
Bên liên quan khác,Phải trả ngắn hạn khác > Bên liên quan khác,Bên liên quan khác,Nhân viên tập đoàn,Thu hộ,520.645.880,460.284.000,,,520645880.0,460284000.0
TỔNG CỘNG,Phải trả ngắn hạn khác > TỔNG CỘNG,TỔNG CỘNG,,,40.007.295.880,9.866.934.000,,,40007295880.0,9866934000.0
