row_label_raw,row_label_full,col_0,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất_1,Báo cáo kết quả hoạt động kinh doanh hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất_1,numeric__Bảng cân đối kế toán hợp nhất,numeric__Bảng cân đối kế toán hợp nhất_1,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất_1
,,,Số cuối năm,Số đầu năm,Năm nay,Năm trước,,,,
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,,,,
Lợi nhuận nội bộ chưa thực hiện,Tài sản thuế thu nhập hoãn lại > Lợi nhuận nội bộ chưa thực hiện,Lợi nhuận nội bộ chưa thực hiện,178.450.525.065,152.064.206.119,26.386.318.946,(3.374.490.148),178450525065.0,152064206119.0,26386318946.0,-3374490148.0
Chi phí phải trả,Tài sản thuế thu nhập hoãn lại > Chi phí phải trả,Chi phí phải trả,56.755.576.654,31.904.340.177,24.851.236.477,24.449.936.860,56755576654.0,31904340177.0,24851236477.0,24449936860.0
Dự phòng các khoản phải thu,Tài sản thuế thu nhập hoãn lại > Dự phòng các khoản phải thu,Dự phòng các khoản phải thu,1.689.865.830,209.508.301,1.480.357.529,(72.563.701),1689865830.0,209508301.0,1480357529.0,-72563701.0
Thuế TNDN đã nộp từ các khoản tiền thanh toán theo tiến độ của khách hàng (*),Tài sản thuế thu nhập hoãn lại > Thuế TNDN đã nộp từ các khoản tiền thanh toán theo tiến độ của khách hàng (*),Thuế TNDN đã nộp từ các khoản tiền thanh toán theo tiến độ của khách hàng (*),16.151.709.392,22.802.486.074,(6.650.776.682),(4.048.838.839),16151709392.0,22802486074.0,-6650776682.0,-4048838839.0
Khác,Tài sản thuế thu nhập hoãn lại > Khác,Khác,255.482.898,255.482.898,-,-,255482898.0,255482898.0,,
,,,253.303.159.839,207.236.023.569,,,253303159839.0,207236023569.0,,
Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,,,,
Dự phòng các khoản đầu tư,Thuế thu nhập hoãn lại phải trả > Dự phòng các khoản đầu tư,Dự phòng các khoản đầu tư,(96.416.415.038),(69.592.850.154),(26.823.564.884),(66.319.934.811),-96416415038.0,-69592850154.0,-26823564884.0,-66319934811.0
Khác,Thuế thu nhập hoãn lại phải trả > Khác,Khác,(1.817.351.644),(23.670.889.115),21.853.537.471,(22.371.345.435),-1817351644.0,-23670889115.0,21853537471.0,-22371345435.0
,,,(98.233.766.682),(93.263.739.269),,,-98233766682.0,-93263739269.0,,
Thu nhập (chi phí) thuế hoãn lại tỉnh vào báo cáo kết quả kinh doanh hợp nhất,Thuế thu nhập hoãn lại phải trả > Thu nhập (chi phí) thuế hoãn lại tỉnh vào báo cáo kết quả kinh doanh hợp nhất,Thu nhập (chi phí) thuế hoãn lại tỉnh vào báo cáo kết quả kinh doanh hợp nhất,Thu nhập (chi phí) thuế hoãn lại tỉnh vào báo cáo kết quả kinh doanh hợp nhất,Thu nhập (chi phí) thuế hoãn lại tỉnh vào báo cáo kết quả kinh doanh hợp nhất,41.097.108.857,(71.737.236.074),,,41097108857.0,-71737236074.0
