row_label_raw,row_label_full,col_0,Dịch vụbắt động sản,Đầu tư và phát triềndự án bắt động sản,Dịch vụ xây dựng,Loại trừ,VNDTổng cộng,numeric__Dịch vụbắt động sản,numeric__Đầu tư và phát triềndự án bắt động sản,numeric__Dịch vụ xây dựng,numeric__Loại trừ,numeric__VNDTổng cộng
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,,,,,
Doanh thu thuầnDoanh thu hoạt động kinh doanh,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021 > Doanh thu thuầnDoanh thu hoạt động kinh doanh,Doanh thu thuầnDoanh thu hoạt động kinh doanh,3.779.568.810.406,7.438.381.723.739,317.055.150.547,(1.445.620.946.854),10.089.384.737.838,3779568810406.0,7438381723739.0,317055150547.0,-1445620946854.0,10089384737838.0
Kết quả hoạt động kinh doanhLợi nhuận góp của bộ phậnChi phí không phân bổ,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021 > Kết quả hoạt động kinh doanhLợi nhuận góp của bộ phậnChi phí không phân bổ,Kết quả hoạt động kinh doanhLợi nhuận góp của bộ phậnChi phí không phân bổ,2.348.691.898.147,3.683.855.954.551,70.060.025.192,(504.815.050.488),5.597.792.827.402(2.885.115.383.758),2348691898147.0,3683855954551.0,70060025192.0,-504815050488.0,
Lợi nhuận từ hoạt động kinh doanhLợi nhuận từ công ty liên kếtDoanh thu hoạt động tài chínhChi phí tài chínhLỗ khác,Lợi nhuận từ hoạt động kinh doanhLợi nhuận từ công ty liên kếtDoanh thu hoạt động tài chínhChi phí tài chínhLỗ khác,Lợi nhuận từ hoạt động kinh doanhLợi nhuận từ công ty liên kếtDoanh thu hoạt động tài chínhChi phí tài chínhLỗ khác,,,,,2.712.677.443.644325.036.444352.726.616.506(543.611.625.605)(6.098.152.674),,,,,
Lợi nhuận trước thuếChỉ phí thuế TNDNThu nhập thuế TNDN hoãn lại,Lợi nhuận trước thuếChỉ phí thuế TNDNThu nhập thuế TNDN hoãn lại,Lợi nhuận trước thuếChỉ phí thuế TNDNThu nhập thuế TNDN hoãn lại,,,,,2.516.019.318.315(849.225.776.906)(71.737.236.074),,,,,
Lợi nhuận thuần sau thuếLợi ích cổ đông không kiểm soát,Lợi nhuận trước thuếChỉ phí thuế TNDNThu nhập thuế TNDN hoãn lại > Lợi nhuận thuần sau thuếLợi ích cổ đông không kiểm soát,Lợi nhuận thuần sau thuếLợi ích cổ đông không kiểm soát,,,,,1.595.056.305.335437.795.977.004,,,,,1.5950563053354378e+24
Lợi nhuận sau thuế công ty mẹ,Lợi nhuận trước thuếChỉ phí thuế TNDNThu nhập thuế TNDN hoãn lại > Lợi nhuận sau thuế công ty mẹ,Lợi nhuận sau thuế công ty mẹ,,,,,1.157.260.328.331,,,,,1157260328331.0
Vào ngày 31 tháng 12 năm 2021,Vào ngày 31 tháng 12 năm 2021,Vào ngày 31 tháng 12 năm 2021,Vào ngày 31 tháng 12 năm 2021,Vào ngày 31 tháng 12 năm 2021,Vào ngày 31 tháng 12 năm 2021,Vào ngày 31 tháng 12 năm 2021,Vào ngày 31 tháng 12 năm 2021,,,,,
Tài sản và công nợTải sản bộ phậnTải sản không phân bổ,Vào ngày 31 tháng 12 năm 2021 > Tài sản và công nợTải sản bộ phậnTải sản không phân bổ,Tài sản và công nợTải sản bộ phậnTải sản không phân bổ,15.167.571.517.236,25.849.348.724.950,821.705.973.671,(17.065.346.836.377),24.773.279.379.4803.480.781.675.935,15167571517236.0,25849348724950.0,821705973671.0,-17065346836377.0,2.477327937948035e+26
Tổng tài sảnCông nợ bộ phậnCông nợ không phân bổ,Vào ngày 31 tháng 12 năm 2021 > Tổng tài sảnCông nợ bộ phậnCông nợ không phân bổ,Tổng tài sảnCông nợ bộ phậnCông nợ không phân bổ,7.600.396.120.266,20.255.488.437.100,662.902.038.432,(15.181.815.423.802),28.254.061.055.41513.336.971.171.9961.535.614.743.025,7600396120266.0,20255488437100.0,662902038432.0,-15181815423802.0,2.825406105541513e+40
Tổng công nợ,Vào ngày 31 tháng 12 năm 2021 > Tổng công nợ,Tổng công nợ,,,,,14.872.585.915.021,,,,,14872585915021.0
