row_label_raw,row_label_full,Công ty Cổ phần Tập đoàn Đất Xanh,Công ty Cổ phần Tập đoàn Đất Xanh_1,Công ty Cổ phần Tập đoàn Đất Xanh_2,Công ty Cổ phần Tập đoàn Đất Xanh_3,B09-DN/HN,numeric__Công ty Cổ phần Tập đoàn Đất Xanh_1,numeric__Công ty Cổ phần Tập đoàn Đất Xanh_2,numeric__Công ty Cổ phần Tập đoàn Đất Xanh_3,numeric__B09-DN/HN
,,,Quyền sử dụng đất,Phần mềm,Tài sản khác,VND Tổng cộng,,,,
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,33.720.622.041,51.839.203.127,1.648.899.605,87.208.724.773,33720622041.0,51839203127.0,1648899605.0,87208724773.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,1.665.677.327,600.000.000,-,2.265.677.327,1665677327.0,600000000.0,,2265677327.0
Xây dựng cơ bản hoàn thành,Nguyên giá: > Xây dựng cơ bản hoàn thành,Xây dựng cơ bản hoàn thành,-,7.646.347.015,-,7.646.347.015,,7646347015.0,,7646347015.0
Giảm do thanh lý công ty con,Nguyên giá: > Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,-,(2.630.252.769),(138.575.000),(2.768.827.769),,-2630252769.0,-138575000.0,-2768827769.0
Thanh lý,Nguyên giá: > Thanh lý,Thanh lý,-,(1.085.000.000),-,(1.085.000.000),,-1085000000.0,,-1085000000.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,35.386.299.368,56.370.297.373,1.510.324.605,93.266.921.346,35386299368.0,56370297373.0,1510324605.0,93266921346.0
Trong đó: Đã hao mòn hết,Nguyên giá: > Trong đó: Đã hao mòn hết,Trong đó: Đã hao mòn hết,-,-,657.166.005,657.166.005,,,657166005.0,657166005.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,-,(17.315.785.339),(1.217.701.605),(18.533.486.944),,-17315785339.0,-1217701605.0,-18533486944.0
Hao mòn trong năm,Giá trị hao mòn lũy kế: > Hao mòn trong năm,Hao mòn trong năm,(118.902.822),(10.789.353.061),(221.728.699),(11.129.984.582),-118902822.0,-10789353061.0,-221728699.0,-11129984582.0
Giảm do thanh lý công ty con,Giá trị hao mòn lũy kế: > Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,-,1.498.470.217,171.999.000,1.670.469.217,,1498470217.0,171999000.0,1670469217.0
Thanh lý,Giá trị hao mòn lũy kế: > Thanh lý,Thanh lý,-,200.753.039,-,200.753.039,,200753039.0,,200753039.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,(118.902.822),(26.405.915.144),(1.267.431.304),(27.792.249.270),-118902822.0,-26405915144.0,-1267431304.0,-27792249270.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,33.720.622.041,34.523.417.788,431.198.000,68.675.237.829,33720622041.0,34523417788.0,431198000.0,68675237829.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,35.267.396.546,29.964.382.229,242.893.301,65.474.672.076,35267396546.0,29964382229.0,242893301.0,65474672076.0
