row_label_raw,row_label_full,Số đầu năm > Phần lãi từ công ty liên kết trong năm,325.036.444 > 1.634.730.634,numeric__325.036.444 > 1.634.730.634
Thanh lý Xuân Định,Thanh lý Xuân Định,Thanh lý Xuân Định,16.226.200,16226200.0
Số cuối năm,Số cuối năm,Số cuối năm,1.975.993.278,1975993278.0
