row_label_raw,row_label_full,Tên công ty con,Lĩnh vực kinh doanh,Tình trạng hoạt động,Tỷ lệ biểu quyết,Tỷ lệ biểu quyết_1,numeric__Lĩnh vực kinh doanh,numeric__Tình trạng hoạt động,numeric__Tỷ lệ biểu quyết,numeric__Tỷ lệ biểu quyết_1
Tên công ty con,Tên công ty con,Tên công ty con,Lĩnh vực kinh doanh,Tình trạng hoạt động,Tại ngày 31 tháng 12 năm 2022 (%),Tại ngày 31 tháng 12 năm 2021 (%),,,,
Lĩnh vực dịch vụ bất động sản (tiếp theo),Lĩnh vực dịch vụ bất động sản (tiếp theo),Lĩnh vực dịch vụ bất động sản (tiếp theo),Lĩnh vực dịch vụ bất động sản (tiếp theo),Lĩnh vực dịch vụ bất động sản (tiếp theo),Lĩnh vực dịch vụ bất động sản (tiếp theo),Lĩnh vực dịch vụ bất động sản (tiếp theo),,,,
"(68) Công ty Cổ phần Bất động sản Linkhouse Tây Nam (""Linkhouse Tây Nam"")","Lĩnh vực dịch vụ bất động sản (tiếp theo) > (68) Công ty Cổ phần Bất động sản Linkhouse Tây Nam (""Linkhouse Tây Nam"")","(68) Công ty Cổ phần Bất động sản Linkhouse Tây Nam (""Linkhouse Tây Nam"")",Kinh doanh và môi giới BĐS,Đang hoạt động,51,51,,,51.0,51.0
"(69) Công ty Cổ phần Đầu tư Bất động sản Thuận Thiên Phát (""Thuận Thiên Phát"")","Lĩnh vực dịch vụ bất động sản (tiếp theo) > (69) Công ty Cổ phần Đầu tư Bất động sản Thuận Thiên Phát (""Thuận Thiên Phát"")","(69) Công ty Cổ phần Đầu tư Bất động sản Thuận Thiên Phát (""Thuận Thiên Phát"")",Kinh doanh và môi giới BĐS,Đang hoạt động,-,100,,,,100.0
"(70) Công ty Cổ phần Bất động sản Ecohome (""Ecohome"")","Lĩnh vực dịch vụ bất động sản (tiếp theo) > (70) Công ty Cổ phần Bất động sản Ecohome (""Ecohome"")","(70) Công ty Cổ phần Bất động sản Ecohome (""Ecohome"")",Kinh doanh và môi giới BĐS,Đang hoạt động,100,"99,99",,,100.0,99.99
(71) Công ty Cổ phần Đầu tư và Dịch vụ Linkland,Lĩnh vực dịch vụ bất động sản (tiếp theo) > (71) Công ty Cổ phần Đầu tư và Dịch vụ Linkland,(71) Công ty Cổ phần Đầu tư và Dịch vụ Linkland,Kinh doanh và môi giới BĐS,Đang hoạt động,51,51,,,51.0,51.0
"(72) Công ty Cổ phần Dịch vụ và Đầu tư Hùng Vương (""Hùng Vương"")","Lĩnh vực dịch vụ bất động sản (tiếp theo) > (72) Công ty Cổ phần Dịch vụ và Đầu tư Hùng Vương (""Hùng Vương"")","(72) Công ty Cổ phần Dịch vụ và Đầu tư Hùng Vương (""Hùng Vương"")",Kinh doanh và môi giới BĐS,Đang hoạt động,"54,26","62,2",,,54.26,62.2
"(73) Công ty Cổ phần Dịch vụ và Đầu tư Bất động sản Kinh Bắc (""Kinh Bắc"")","Lĩnh vực dịch vụ bất động sản (tiếp theo) > (73) Công ty Cổ phần Dịch vụ và Đầu tư Bất động sản Kinh Bắc (""Kinh Bắc"")","(73) Công ty Cổ phần Dịch vụ và Đầu tư Bất động sản Kinh Bắc (""Kinh Bắc"")",Kinh doanh và môi giới BĐS,Đang hoạt động,51,"57,3",,,51.0,57.3
"(74) Công ty Cổ phần Dịch vụ Bất động sản Duyên Hải Miền Tây (""Duyên Hải Miền Tây"")","Lĩnh vực dịch vụ bất động sản (tiếp theo) > (74) Công ty Cổ phần Dịch vụ Bất động sản Duyên Hải Miền Tây (""Duyên Hải Miền Tây"")","(74) Công ty Cổ phần Dịch vụ Bất động sản Duyên Hải Miền Tây (""Duyên Hải Miền Tây"")",Kinh doanh và môi giới BĐS,Đang hoạt động,51,51,,,51.0,51.0
"(75) Công ty TNHH Đất Mới Minh Hưng (""Đất Mới Minh Hưng"")","Lĩnh vực dịch vụ bất động sản (tiếp theo) > (75) Công ty TNHH Đất Mới Minh Hưng (""Đất Mới Minh Hưng"")","(75) Công ty TNHH Đất Mới Minh Hưng (""Đất Mới Minh Hưng"")",Kinh doanh và môi giới BĐS,Đang hoạt động,-,100,,,,100.0
