row_label_raw,row_label_full,col_0,Nhà cửa vàvật kiến trúc,"Máy móc,thiết bị",Phương tiệnvận tải,Thiết bịvăn phòng,Tài sảncố định khác,VNDTổng cộng,numeric__Nhà cửa vàvật kiến trúc,"numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,numeric__Thiết bịvăn phòng,numeric__Tài sảncố định khác,numeric__VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,414.053.752.881,28.276.474.890,123.617.180.635,28.793.398.474,3.397.851.084,598.138.657.964,414053752881.0,28276474890.0,123617180635.0,28793398474.0,3397851084.0,598138657964.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,26.115.930.114,2.541.203.004,15.305.331.200,2.779.652.193,345.601.938,47.087.718.449,26115930114.0,2541203004.0,15305331200.0,2779652193.0,345601938.0,47087718449.0
Kết chuyển sang Bất động sảnđầu tư,Nguyên giá: > Kết chuyển sang Bất động sảnđầu tư,Kết chuyển sang Bất động sảnđầu tư,(139.260.294.651),-,-,-,-,(139.260.294.651),-139260294651.0,,,,,-139260294651.0
Giảm do thanh lý công ty con,Nguyên giá: > Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,(444.748.881),(110.803.299),(10.100.388.820),(3.545.663.663),(764.904.065),(14.966.508.728),-444748881.0,-110803299.0,-10100388820.0,-3545663663.0,-764904065.0,-14966508728.0
Thanh lý,Nguyên giá: > Thanh lý,Thanh lý,(7.984.221.488),(1.184.764.187),(5.027.062.728),(1.131.400.657),(76.818.182),(15.404.267.242),-7984221488.0,-1184764187.0,-5027062728.0,-1131400657.0,-76818182.0,-15404267242.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,292.480.417.975,29.522.110.408,123.795.060.287,26.895.986.347,2.901.730.775,475.595.305.792,292480417975.0,29522110408.0,123795060287.0,26895986347.0,2901730775.0,475595305792.0
Trong đó:Đã khấu hao hết,Nguyên giá: > Trong đó:Đã khấu hao hết,Trong đó:Đã khấu hao hết,180.181.818,219.060.552,7.721.435.753,3.432.726.775,509.090.879,12.062.495.777,180181818.0,219060552.0,7721435753.0,3432726775.0,509090879.0,12062495777.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(131.769.999.713),(13.001.846.061),(73.491.610.810),(19.628.096.450),(2.329.584.787),(240.221.137.821),-131769999713.0,-13001846061.0,-73491610810.0,-19628096450.0,-2329584787.0,-240221137821.0
