row_label_raw,row_label_full,Ngân hàng > Ngân hàng TMCP Việt Nam Thịnh Vượng > Ngân hàng TMCP Công thương Việt Nam > Ngân hàng TMCP Hàng hải Việt Nam,Số cuối năm > 1.335.312.499.999 > 818.768.000.000 > 159.959.402.947,VND Số đầu năm > - > 182.500.000.000,numeric__Số cuối năm > 1.335.312.499.999 > 818.768.000.000 > 159.959.402.947,numeric__VND Số đầu năm > - > 182.500.000.000
Ngân hàng First Commercial Bank - Chi nhánh Hồ Chí Minh,Ngân hàng First Commercial Bank - Chi nhánh Hồ Chí Minh,Ngân hàng First Commercial Bank - Chi nhánh Hồ Chí Minh,152.625.000.000,-,152625000000.0,
Ngân hàng TMCP Kỹ Thương Việt Nam,Ngân hàng TMCP Kỹ Thương Việt Nam,Ngân hàng TMCP Kỹ Thương Việt Nam,39.178.881.106,11.124.997.000,39178881106.0,11124997000.0
Ngân hàng TMCP Tiên Phong,Ngân hàng TMCP Tiên Phong,Ngân hàng TMCP Tiên Phong,6.254.321.808,-,6254321808.0,
Ngân hàng khác,Ngân hàng khác,Ngân hàng khác,1.570.219.329,14.885.123.598,1570219329.0,14885123598.0
TỔNG CỔNG,TỔNG CỔNG,TỔNG CỔNG,2.513.668.325.189,208.510.120.598,2513668325189.0,208510120598.0
