row_label_raw,row_label_full,Tên công ty liên kết,Lĩnh vực kinh doanh,Số cuối năm > Tỷ lệ lợi ích %,Số cuối năm > Giá trị ghi số VND,Số đầu năm > Tỷ lệ lợi ích %,Số đầu năm > Giá trị ghi số VND,numeric__Lĩnh vực kinh doanh,numeric__Số cuối năm > Tỷ lệ lợi ích %,numeric__Số cuối năm > Giá trị ghi số VND,numeric__Số đầu năm > Tỷ lệ lợi ích %,numeric__Số đầu năm > Giá trị ghi số VND
Công ty Cổ phần Đất Xanh Capital (*),Công ty Cổ phần Đất Xanh Capital (*),Công ty Cổ phần Đất Xanh Capital (*),Đầu tư tài chính,49,300.963.993.278,49,147.319.036.444,,49.0,300963993278.0,49.0,147319036444.0
Đất xanh Miền Nam (Thuyết minh số 4),Đất xanh Miền Nam (Thuyết minh số 4),Đất xanh Miền Nam (Thuyết minh số 4),Kinh doanh và môi giới BĐS,49,148.665.476.732,-,-,,49.0,148665476732.0,,
Công ty TNHH Đầu tư Lê Gia Newland (**),Công ty TNHH Đầu tư Lê Gia Newland (**),Công ty TNHH Đầu tư Lê Gia Newland (**),Kinh doanh và môi giới BĐS,40,31.600.000.000,-,-,,40.0,31600000000.0,,
Công ty TNHH REIC,Công ty TNHH REIC,Công ty TNHH REIC,Kinh doanh BĐS,40,264.400.000,40,500.000.000,,40.0,264400000.0,40.0,500000000.0
Xuân Định,Xuân Định,Xuân Định,Kinh doanh BĐS,-,-,45,109.541.652.951,,,,45.0,109541652951.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,481.493.870.010,,257.360.689.395,,,481493870010.0,,257360689395.0
