row_label_raw,row_label_full,Tổ chức thu xếp phát hành > Ngân hàng TMCP Việt Nam Thịnh Vượng,Số cuối năm > 941.961.050.872,VND Số đầu năm > 2.211.273.643.838,numeric__Số cuối năm > 941.961.050.872,numeric__VND Số đầu năm > 2.211.273.643.838
Công ty Cổ Phần Chứng Khoán SSI,Công ty Cổ Phần Chứng Khoán SSI,Công ty Cổ Phần Chứng Khoán SSI,369.075.000.000,363.525.000.000,369075000000.0,363525000000.0
"Công ty Cổ Phần Chứng Khoán VNDIRECT (""VNDIRECT"")","Công ty Cổ Phần Chứng Khoán VNDIRECT (""VNDIRECT"")","Công ty Cổ Phần Chứng Khoán VNDIRECT (""VNDIRECT"")",346.597.222.232,343.680.555.559,346597222232.0,343680555559.0
Công ty TNHH Chứng khoán JB Việt Nam,Công ty TNHH Chứng khoán JB Việt Nam,Công ty TNHH Chứng khoán JB Việt Nam,203.201.250.006,-,203201250006.0,
Công ty Chứng khoán Ngân hàng Công thương Việt Nam,Công ty Chứng khoán Ngân hàng Công thương Việt Nam,Công ty Chứng khoán Ngân hàng Công thương Việt Nam,199.541.647.731,199.447.272.727,199541647731.0,199447272727.0
Công ty Quản lý quỹ đầu tư MB,Công ty Quản lý quỹ đầu tư MB,Công ty Quản lý quỹ đầu tư MB,97.387.500.000,-,97387500000.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,2.157.763.670.841,3.117.926.472.124,2157763670841.0,3117926472124.0
