row_label_raw,row_label_full,Công ty Cổ phần Tập đoàn Đất Xanh,Công ty Cổ phần Tập đoàn Đất Xanh_1,Công ty Cổ phần Tập đoàn Đất Xanh_2,Công ty Cổ phần Tập đoàn Đất Xanh_3,Công ty Cổ phần Tập đoàn Đất Xanh_4,B09-DN/HN,numeric__Công ty Cổ phần Tập đoàn Đất Xanh_1,numeric__Công ty Cổ phần Tập đoàn Đất Xanh_2,numeric__Công ty Cổ phần Tập đoàn Đất Xanh_3,numeric__Công ty Cổ phần Tập đoàn Đất Xanh_4,numeric__B09-DN/HN
,,,Số đầu năm,Tăng trong năm,Giảm trong năm,Giảm do thanh lý công ty con,VND Số cuối năm,,,,,
Phải thu,Phải thu,Phải thu,85.110.662.745,91.477.705.536,(15.480.630.653),-,161.107.737.628,85110662745.0,91477705536.0,-15480630653.0,,161107737628.0
Thuế giá trị gia tăngđược khấu trừ,Thuế giá trị gia tăngđược khấu trừ,Thuế giá trị gia tăngđược khấu trừ,84.292.747.878,87.786.498.853,(15.452.170.055),-,156.627.076.676,84292747878.0,87786498853.0,-15452170055.0,,156627076676.0
Khác,Khác,Khác,817.914.867,3.691.206.683,(28.460.598),-,4.480.660.952,817914867.0,3691206683.0,-28460598.0,,4480660952.0
Phải trả,Phải trả,Phải trả,1.141.595.121.482,1.888.386.919.455,(2.144.832.509.045),(141.590.727.127),743.558.804.765,1141595121482.0,1888386919455.0,-2144832509045.0,-141590727127.0,743558804765.0
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,244.474.009.213,385.907.479.527,(459.431.330.387),(48.960.792.564),121.989.365.789,244474009213.0,385907479527.0,-459431330387.0,-48960792564.0,121989365789.0
Thuế TNDN,Thuế TNDN,Thuế TNDN,859.556.809.548,275.208.141.014,(485.103.268.133),(66.675.971.446),582.985.710.983,859556809548.0,275208141014.0,-485103268133.0,-66675971446.0,582985710983.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,36.455.128.370,140.534.960.047,(130.697.117.433),(25.376.866.363),20.916.104.621,36455128370.0,140534960047.0,-130697117433.0,-25376866363.0,20916104621.0
Khác,Khác,Khác,1.109.174.351,1.086.736.338.867,(1.069.600.793.092),(577.096.754),17.667.623.372,1109174351.0,1086736338867.0,-1069600793092.0,-577096754.0,17667623372.0
TỔNG CỔNG,TỔNG CỔNG,TỔNG CỔNG,1.056.484.458.737,1.796.909.213.919,(2.129.351.878.392),(141.590.727.127),582.451.067.137,1056484458737.0,1796909213919.0,-2129351878392.0,-141590727127.0,582451067137.0
