row_label_raw,row_label_full,col_0,Số cuối nămSố cổ phiếu,Số đầu nămSố cổ phiếu,numeric__Số cuối nămSố cổ phiếu,numeric__Số đầu nămSố cổ phiếu
Cổ phiếu được phép phát hành,Cổ phiếu được phép phát hành,Cổ phiếu được phép phát hành,611.779.002,597.773.048,611779002.0,597773048.0
Cổ phiếu đã phát hành và góp vốn đầy đủCổ phiếu phổ thông,Cổ phiếu đã phát hành và góp vốn đầy đủCổ phiếu phổ thông,Cổ phiếu đã phát hành và góp vốn đầy đủCổ phiếu phổ thông,611.779.002,597.773.048,611779002.0,597773048.0
Cổ phiếu quỹCổ phiếu phổ thông,Cổ phiếu quỹCổ phiếu phổ thông,Cổ phiếu quỹCổ phiếu phổ thông,(1.747.486),(1.747.486),-1747486.0,-1747486.0
Cổ phiếu đang lưu hànhCổ phiếu phổ thông,Cổ phiếu đang lưu hànhCổ phiếu phổ thông,Cổ phiếu đang lưu hànhCổ phiếu phổ thông,610.031.516,596.025.562,610031516.0,596025562.0
