row_label_raw,row_label_full,Số đầu năm > Phân bổ trong năm,(82.470.557.383) > (28.401.318.374),numeric__(82.470.557.383) > (28.401.318.374)
Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,18.469.379.022,18469379022.0
Số cuối năm,Số cuối năm,Số cuối năm,(92.402.496.735),-92402496735.0
