row_label_raw,row_label_full,col_0,VNDNhà cửa vàvật kiến trúc,numeric__VNDNhà cửa vàvật kiến trúc
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,123.600.436.442,123600436442.0
Kết chuyển từ Tài sản cố định hữu hình,Nguyên giá: > Kết chuyển từ Tài sản cố định hữu hình,Kết chuyển từ Tài sản cố định hữu hình,139.260.294.651,139260294651.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,7.189.445.709,7189445709.0
Thanh lý trong năm,Nguyên giá: > Thanh lý trong năm,Thanh lý trong năm,(7.243.201.712),-7243201712.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,262.806.975.090,262806975090.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(8.593.207.350),-8593207350.0
Kết chuyển từ Tài sản cố định hữu hình,Giá trị khấu hao lũy kế: > Kết chuyển từ Tài sản cố định hữu hình,Kết chuyển từ Tài sản cố định hữu hình,(110.251.126.008),-110251126008.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(12.357.513.183),-12357513183.0
Thanh lý trong năm,Giá trị khấu hao lũy kế: > Thanh lý trong năm,Thanh lý trong năm,629.399.775,629399775.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(130.572.446.766),-130572446766.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,115.007.229.092,115007229092.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,132.234.528.324,132234528324.0
