row_label_raw,row_label_full,Chi tiết các khoản vay ngân hàng như sau:,Chi tiết các khoản vay ngân hàng như sau:_1,Chi tiết các khoản vay ngân hàng như sau:_2,numeric__Chi tiết các khoản vay ngân hàng như sau:_1,numeric__Chi tiết các khoản vay ngân hàng như sau:_2
Ngân hàng,Ngân hàng,Ngân hàng,Số cuối năm,VND Số đầu năm,,
"Ngân hàng Thương mại Cổ phần (""TMCP"")","Ngân hàng Thương mại Cổ phần (""TMCP"")","Ngân hàng Thương mại Cổ phần (""TMCP"")",,,,
Công thương Việt Nam,"Ngân hàng Thương mại Cổ phần (""TMCP"") > Công thương Việt Nam",Công thương Việt Nam,426.927.748.624,307.258.650.227,426927748624.0,307258650227.0
Ngân hàng TMCP Việt Nam Thịnh Vượng,"Ngân hàng Thương mại Cổ phần (""TMCP"") > Ngân hàng TMCP Việt Nam Thịnh Vượng",Ngân hàng TMCP Việt Nam Thịnh Vượng,207.181.920.103,353.711.071.258,207181920103.0,353711071258.0
Ngân hàng liên doanh Việt Nga,"Ngân hàng Thương mại Cổ phần (""TMCP"") > Ngân hàng liên doanh Việt Nga",Ngân hàng liên doanh Việt Nga,159.288.521.705,107.800.000.000,159288521705.0,107800000000.0
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,"Ngân hàng Thương mại Cổ phần (""TMCP"") > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam",Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,80.075.380.481,59.884.553.424,80075380481.0,59884553424.0
Ngân hàng TMCP Ngoại thương Việt Nam,"Ngân hàng Thương mại Cổ phần (""TMCP"") > Ngân hàng TMCP Ngoại thương Việt Nam",Ngân hàng TMCP Ngoại thương Việt Nam,50.000.000.000,-,50000000000.0,
Ngân hàng TMCP Tiên Phong,"Ngân hàng Thương mại Cổ phần (""TMCP"") > Ngân hàng TMCP Tiên Phong",Ngân hàng TMCP Tiên Phong,16.513.000.000,26.666.000.000,16513000000.0,26666000000.0
Ngân hàng TMCP Hàng hải Việt Nam,"Ngân hàng Thương mại Cổ phần (""TMCP"") > Ngân hàng TMCP Hàng hải Việt Nam",Ngân hàng TMCP Hàng hải Việt Nam,5.558.618.750,15.000.000.000,5558618750.0,15000000000.0
Ngân hàng TMCP Quân đội,"Ngân hàng Thương mại Cổ phần (""TMCP"") > Ngân hàng TMCP Quân đội",Ngân hàng TMCP Quân đội,-,24.500.000.000,,24500000000.0
Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,"Ngân hàng Thương mại Cổ phần (""TMCP"") > Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh",Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,-,10.313.000.000,,10313000000.0
TỔNG CỘNG,"Ngân hàng Thương mại Cổ phần (""TMCP"") > TỔNG CỘNG",TỔNG CỘNG,945.545.189.663,905.133.274.909,945545189663.0,905133274909.0
