row_label_raw,row_label_full,Ngân hàng,Số cuối năm(VND),Kỳ hạn trả gốc,Mục đích vay,Hình thức đảm bảo,numeric__Số cuối năm(VND),numeric__Kỳ hạn trả gốc,numeric__Mục đích vay,numeric__Hình thức đảm bảo
Ngân hàng Thương mại Cổ phần Đệ Nhất - Chi nhánh Thành phố Hồ Chí Minh,Ngân hàng Thương mại Cổ phần Đệ Nhất - Chi nhánh Thành phố Hồ Chí Minh,Ngân hàng Thương mại Cổ phần Đệ Nhất - Chi nhánh Thành phố Hồ Chí Minh,Ngân hàng Thương mại Cổ phần Đệ Nhất - Chi nhánh Thành phố Hồ Chí Minh,Ngân hàng Thương mại Cổ phần Đệ Nhất - Chi nhánh Thành phố Hồ Chí Minh,Ngân hàng Thương mại Cổ phần Đệ Nhất - Chi nhánh Thành phố Hồ Chí Minh,Ngân hàng Thương mại Cổ phần Đệ Nhất - Chi nhánh Thành phố Hồ Chí Minh,,,,
Khoản vay 1,Ngân hàng Thương mại Cổ phần Đệ Nhất - Chi nhánh Thành phố Hồ Chí Minh > Khoản vay 1,Khoản vay 1,152.625.000.000,Từ ngày 30 tháng 11 năm 2023đến ngày 30 tháng 8 năm 2025,Tài trợ các dự ánđang triển khai,Quyền sử dụng đất vàtài sản gắn liền với đất,152625000000.0,,,
Trong đó:Vay dài hạn đến hạn trả,Ngân hàng Thương mại Cổ phần Đệ Nhất - Chi nhánh Thành phố Hồ Chí Minh > Trong đó:Vay dài hạn đến hạn trả,Trong đó:Vay dài hạn đến hạn trả,55.500.000.000,,,,55500000000.0,,,
Ngân hàng Thương mại Cổ phần Kỹ Thương Việt Nam,Ngân hàng Thương mại Cổ phần Kỹ Thương Việt Nam,Ngân hàng Thương mại Cổ phần Kỹ Thương Việt Nam,Ngân hàng Thương mại Cổ phần Kỹ Thương Việt Nam,Ngân hàng Thương mại Cổ phần Kỹ Thương Việt Nam,Ngân hàng Thương mại Cổ phần Kỹ Thương Việt Nam,Ngân hàng Thương mại Cổ phần Kỹ Thương Việt Nam,,,,
Khoản vay 1,Ngân hàng Thương mại Cổ phần Kỹ Thương Việt Nam > Khoản vay 1,Khoản vay 1,36.953.893.223,Từ ngày 5 tháng 2 năm 2024đến ngày 18 tháng 5 năm 2024,Bổ sung vốn lưuđộng,Các hợp đồng phân phối độc quyềncủa Đất Xanh Miền Bắc,36953893223.0,,,
Khoản vay 2,Ngân hàng Thương mại Cổ phần Kỹ Thương Việt Nam > Khoản vay 2,Khoản vay 2,2.224.987.883,Ngày 15 tháng 4 năm 2023,Mua tài sản,Hợp đồng tiền gửi trị giá 17.800.000.000 VNDvà một bất động sản tại Thành phố Đà Nẵng,2224987883.0,,,
,,,39.178.881.106,,,,39178881106.0,,,
Trong đó:Vay dài hạn đến hạn trả,Ngân hàng Thương mại Cổ phần Kỹ Thương Việt Nam > Trong đó:Vay dài hạn đến hạn trả,Trong đó:Vay dài hạn đến hạn trả,2.224.987.883,,,,2224987883.0,,,
Ngân hàng Thương mại Cổ phần Tiên Phong,Ngân hàng Thương mại Cổ phần Tiên Phong,Ngân hàng Thương mại Cổ phần Tiên Phong,Ngân hàng Thương mại Cổ phần Tiên Phong,Ngân hàng Thương mại Cổ phần Tiên Phong,Ngân hàng Thương mại Cổ phần Tiên Phong,Ngân hàng Thương mại Cổ phần Tiên Phong,,,,
Khoản vay 1,Ngân hàng Thương mại Cổ phần Tiên Phong > Khoản vay 1,Khoản vay 1,4.834.450.005,Từ ngày 31 tháng 12 năm 2023đến ngày 29 tháng 1 năm 2028,Mua tài sản,Phương tiện vận tải,4834450005.0,,,
Khoản vay 2,Ngân hàng Thương mại Cổ phần Tiên Phong > Khoản vay 2,Khoản vay 2,1.038.205.143,Ngày 5 tháng 10 năm 2023,Mua tài sản,Phương tiện vận tải,1038205143.0,,,
Khoản vay 3,Ngân hàng Thương mại Cổ phần Tiên Phong > Khoản vay 3,Khoản vay 3,319.583.341,Từ ngày 31 tháng 12 năm 2023đến ngày 5 tháng 2 năm 2024,Mua tài sản,Phương tiện vận tải,319583341.0,,,
Khoản vay 4,Ngân hàng Thương mại Cổ phần Tiên Phong > Khoản vay 4,Khoản vay 4,62.083.319,Ngày 30 tháng 6 năm 2023,Mua tài sản,Phương tiện vận tải,62083319.0,,,
,,,6.254.321.808,,,,6254321808.0,,,
Trong đó:Vay dài hạn đến hạn trả,Ngân hàng Thương mại Cổ phần Tiên Phong > Trong đó:Vay dài hạn đến hạn trả,Trong đó:Vay dài hạn đến hạn trả,2.539.247.618,,,,2539247618.0,,,
