row_label_raw,row_label_full,col_0,Số đầu năm,Tăng trong năm,Giảm trong năm,VND Số cuối năm,numeric__Số đầu năm,numeric__Tăng trong năm,numeric__Giảm trong năm,numeric__VND Số cuối năm
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế TNDN,Phải thu > Thuế TNDN,Thuế TNDN,1.542.706.458,16.208.893.681,(17.347.247.006),404.353.133,1542706458.0,16208893681.0,-17347247006.0,404353133.0
Thuế xuất nhập khẩu,Phải thu > Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,-,2.771.208.092,(2.768.701.631),2.506.461,,2771208092.0,-2768701631.0,2506461.0
Các loại thuế khác,Phải thu > Các loại thuế khác,Các loại thuế khác,15.450.867,165.497.490,(180.948.357),-,15450867.0,165497490.0,-180948357.0,
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,1.558.157.325,19.145.599.263,(20.296.896.994),406.859.594,1558157325.0,19145599263.0,-20296896994.0,406859594.0
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế TNDN,Phải nộp > Thuế TNDN,Thuế TNDN,8.652.960.596,25.873.163.298,(18.832.934.182),15.693.189.712,8652960596.0,25873163298.0,-18832934182.0,15693189712.0
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,1.017.584.920,8.318.785.353,(8.035.426.951),1.300.943.322,1017584920.0,8318785353.0,-8035426951.0,1300943322.0
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,926.612.953,7.033.692.407,(6.819.103.928),1.141.201.432,926612953.0,7033692407.0,-6819103928.0,1141201432.0
Thuế tiêu thụ đặc biệt,Phải nộp > Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,449.988.100,3.718.092.592,(3.813.570.142),354.510.550,449988100.0,3718092592.0,-3813570142.0,354510550.0
Các loại thuế khác,Phải nộp > Các loại thuế khác,Các loại thuế khác,27.645.103,226.177.870,(249.385.291),4.437.682,27645103.0,226177870.0,-249385291.0,4437682.0
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,11.074.791.672,45.169.911.520,(37.750.420.494),18.494.282.698,11074791672.0,45169911520.0,-37750420494.0,18494282698.0
