row_label_raw,row_label_full,Số đầu năm > Phần lợi nhuận từ các công ty liên kết trong năm,30.082.894.224 > 20.339.587.391,numeric__30.082.894.224 > 20.339.587.391
Giảm lỗ do thanh lý khoản đầu tư,Giảm lỗ do thanh lý khoản đầu tư,Giảm lỗ do thanh lý khoản đầu tư,(11.233.791.780),-11233791780.0
Cổ tức được chia trong năm,Cổ tức được chia trong năm,Cổ tức được chia trong năm,(18.881.512.500),-18881512500.0
Số cuối năm,Số cuối năm,Số cuối năm,20.307.177.335,20307177335.0
