row_label_raw,row_label_full,Số đầu năm > Vay trong năm > Thuê tài chính trong năm,Năm nay > 1.390.315.180.640 > 1.938.357.254.981 > 10.134.597.152,VNDNăm trước > 966.208.024.592 > 2.145.968.068.597 > -,numeric__Năm nay > 1.390.315.180.640 > 1.938.357.254.981 > 10.134.597.152,numeric__VNDNăm trước > 966.208.024.592 > 2.145.968.068.597 > -
Trả gốc vay,Trả gốc vay,Trả gốc vay,(1.656.098.470.011),(1.721.860.912.549),-1656098470011.0,-1721860912549.0
Trả nợ thuê tài chính,Trả nợ thuê tài chính,Trả nợ thuê tài chính,(1.187.729.036),-,-1187729036.0,
Đánh giá chênh lệch tỷ giá,Đánh giá chênh lệch tỷ giá,Đánh giá chênh lệch tỷ giá,(339.074.725),-,-339074725.0,
Số cuối năm,Số cuối năm,Số cuối năm,1.681.181.759.001,1.390.315.180.640,1681181759001.0,1390315180640.0
