row_label_raw,row_label_full,Bên cho vay,Số cuối năm > (VND),Số cuối năm > Nguyên tệ(USD),Kỳ hạn trả gốc,Mục đích vay,Lãi suất(%/năm),Hình thức đảm bảo,numeric__Số cuối năm > (VND),numeric__Số cuối năm > Nguyên tệ(USD),numeric__Kỳ hạn trả gốc,numeric__Mục đích vay,numeric__Lãi suất(%/năm),numeric__Hình thức đảm bảo
Ngân hàng Sinopac - Chi nhánh Thành phố Hồ Chí Minh,Ngân hàng Sinopac - Chi nhánh Thành phố Hồ Chí Minh,Ngân hàng Sinopac - Chi nhánh Thành phố Hồ Chí Minh,Ngân hàng Sinopac - Chi nhánh Thành phố Hồ Chí Minh,Ngân hàng Sinopac - Chi nhánh Thành phố Hồ Chí Minh,Ngân hàng Sinopac - Chi nhánh Thành phố Hồ Chí Minh,Ngân hàng Sinopac - Chi nhánh Thành phố Hồ Chí Minh,Ngân hàng Sinopac - Chi nhánh Thành phố Hồ Chí Minh,Ngân hàng Sinopac - Chi nhánh Thành phố Hồ Chí Minh,,,,,,
Khoản vay 1,Ngân hàng Sinopac - Chi nhánh Thành phố Hồ Chí Minh > Khoản vay 1,Khoản vay 1,34.088.848.616,-,Từ ngày 26 tháng 3 năm 2019đến ngày 6 tháng 5 năm 2019,Bổ sungvốn lưu động,"5,7%",Tín chấp,34088848616.0,,,,0.057,
Khoản vay 2,Ngân hàng Sinopac - Chi nhánh Thành phố Hồ Chí Minh > Khoản vay 2,Khoản vay 2,32.150.714.823,1.383.123.89,Từ ngày 9 tháng 4 năm 2019đến ngày 14 tháng 5 năm 2019,Bổ sungvốn lưu động,"3,68% - 3,88%",Tín chấp,32150714823.0,138312389.0,,,,
Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam - Chi nhánh Thống Nhất,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam - Chi nhánh Thống Nhất,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam - Chi nhánh Thống Nhất,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam - Chi nhánh Thống Nhất,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam - Chi nhánh Thống Nhất,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam - Chi nhánh Thống Nhất,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam - Chi nhánh Thống Nhất,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam - Chi nhánh Thống Nhất,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam - Chi nhánh Thống Nhất,,,,,,
Khoản vay 1,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam - Chi nhánh Thống Nhất > Khoản vay 1,Khoản vay 1,27.583.541.271,-,Từ ngày 25 tháng 1 năm 2019đến ngày 12 tháng 4 năm 2019,Bổ sungvốn lưu động,6.0%,Tín chấp,27583541271.0,,,,0.6,
Khoản vay 2,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam - Chi nhánh Thống Nhất > Khoản vay 2,Khoản vay 2,21.541.060.251,-,Từ ngày 8 tháng 5 năm 2019đến ngày 13 tháng 5 năm 2019,Bổ sungvốn lưu động,"4,3%",Tín chấp,21541060251.0,,,,0.043,
Ngân hàng Liên doanh Việt Nga - Chi nhánh Thành phố Hồ Chí Minh,Ngân hàng Liên doanh Việt Nga - Chi nhánh Thành phố Hồ Chí Minh,Ngân hàng Liên doanh Việt Nga - Chi nhánh Thành phố Hồ Chí Minh,Ngân hàng Liên doanh Việt Nga - Chi nhánh Thành phố Hồ Chí Minh,Ngân hàng Liên doanh Việt Nga - Chi nhánh Thành phố Hồ Chí Minh,Ngân hàng Liên doanh Việt Nga - Chi nhánh Thành phố Hồ Chí Minh,Ngân hàng Liên doanh Việt Nga - Chi nhánh Thành phố Hồ Chí Minh,Ngân hàng Liên doanh Việt Nga - Chi nhánh Thành phố Hồ Chí Minh,Ngân hàng Liên doanh Việt Nga - Chi nhánh Thành phố Hồ Chí Minh,,,,,,
Khoản vay 1,Ngân hàng Liên doanh Việt Nga - Chi nhánh Thành phố Hồ Chí Minh > Khoản vay 1,Khoản vay 1,15.000.000.000,-,Từ ngày 1 tháng 3 năm 2019đến ngày 13 tháng 4 năm 2019,Bổ sungvốn lưu động,"9,6%",4 căn hộ chung cư Giai Việt,15000000000.0,,,,0.096,
Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng – Chi nhánh Kinh Đô,Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng – Chi nhánh Kinh Đô,Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng – Chi nhánh Kinh Đô,Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng – Chi nhánh Kinh Đô,Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng – Chi nhánh Kinh Đô,Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng – Chi nhánh Kinh Đô,Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng – Chi nhánh Kinh Đô,Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng – Chi nhánh Kinh Đô,Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng – Chi nhánh Kinh Đô,,,,,,
Khoản vay 1,Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng – Chi nhánh Kinh Đô > Khoản vay 1,Khoản vay 1,12.892.729.159,553.811,Từ ngày 12 tháng 3 năm 2019đến ngày 12 tháng 4 năm 2019,Bổ sungvốn lưu động,"5,1% - 5,4%",Chứng chỉ tiền gửi giá trị15.700.000.000 VND,12892729159.0,553811.0,,,,
