row_label_raw,row_label_full,Cho vay bên liên quan (Thuyết minh số 32),(i),Số cuối năm > 6.500.000.000,VND Số đầu năm > 6.500.000.000,numeric__(i),numeric__Số cuối năm > 6.500.000.000,numeric__VND Số đầu năm > 6.500.000.000
Cho vay các bên khác,Cho vay các bên khác,Cho vay các bên khác,(ii),5.440.000.000,5.740.000.000,,5440000000.0,5740000000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,11.940.000.000,12.240.000.000,,11940000000.0,12240000000.0
