row_label_raw,row_label_full,col_0,Năm nay,VND > Năm trước (Được trình bày lại),numeric__Năm nay,numeric__VND > Năm trước (Được trình bày lại)
Lợi nhuận sau thuế (VND),Lợi nhuận sau thuế (VND),Lợi nhuận sau thuế (VND),99.106.482.347,109.181.495.840,99106482347.0,109181495840.0
Trừ: Quỹ khen thưởng phúc lợi (VND) (i),Trừ: Quỹ khen thưởng phúc lợi (VND) (i),Trừ: Quỹ khen thưởng phúc lợi (VND) (i),(991.064.823),(2.186.814.958),-991064823.0,-2186814958.0
Lợi nhuận thuần sau thuế phân bổ cho cổ đông sở hữu cổ phiếu phổ thông (VND),Lợi nhuận thuần sau thuế phân bổ cho cổ đông sở hữu cổ phiếu phổ thông (VND),Lợi nhuận thuần sau thuế phân bổ cho cổ đông sở hữu cổ phiếu phổ thông (VND),98.115.417.524,106.994.680.882,98115417524.0,106994680882.0
Số lượng cổ phiếu phổ thông lưu hành bình quân (ii),Số lượng cổ phiếu phổ thông lưu hành bình quân (ii),Số lượng cổ phiếu phổ thông lưu hành bình quân (ii),249.036.263,249.036.263,249036263.0,249036263.0
Lãi cơ bản trên cổ phiếu (VND/cổ phiếu),Lãi cơ bản trên cổ phiếu (VND/cổ phiếu),Lãi cơ bản trên cổ phiếu (VND/cổ phiếu),394,430,394.0,430.0
Lãi suy giảm trên cổ phiếu (VND/cổ phiếu),Lãi suy giảm trên cổ phiếu (VND/cổ phiếu),Lãi suy giảm trên cổ phiếu (VND/cổ phiếu),394,430,394.0,430.0
