row_label_raw,row_label_full,Ông Nguyễn Văn Nguyên,Trường Ban,từ nhiệm ngày 8 tháng 3 năm 2019,numeric__Trường Ban,numeric__từ nhiệm ngày 8 tháng 3 năm 2019
Bà Vũ Thị Thanh Thủy,Bà Vũ Thị Thanh Thủy,Bà Vũ Thị Thanh Thủy,Thành viên,,,
Bà Chung Thị Kiều Ngân,Bà Chung Thị Kiều Ngân,Bà Chung Thị Kiều Ngân,Thành viên,bổ nhiệm ngày 17 tháng 4 năm 2018,,
Ông Nguyễn Minh Hà,Ông Nguyễn Minh Hà,Ông Nguyễn Minh Hà,Thành viên,từ nhiệm ngày 12 tháng 2 năm 2018,,
