row_label_raw,row_label_full,col_0,Nhà cửa vàvật kiến trúc,Máy mócvà thiết bị,VNDTổng cộng,numeric__Nhà cửa vàvật kiến trúc,numeric__Máy mócvà thiết bị,numeric__VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,157.770.961.887,52.616.356.733,210.387.318.620,157770961887.0,52616356733.0,210387318620.0
Thanh lý,Nguyên giá: > Thanh lý,Thanh lý,(17.665.549.624),(950.000.000),(18.615.549.624),-17665549624.0,-950000000.0,-18615549624.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,140.105.412.263,51.666.356.733,191.771.768.996,140105412263.0,51666356733.0,191771768996.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(21.606.919.471),(14.056.104.834),(35.663.024.305),-21606919471.0,-14056104834.0,-35663024305.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(3.834.126.096),(2.315.288.940),(6.149.415.036),-3834126096.0,-2315288940.0,-6149415036.0
Thanh lý,Giá trị khấu hao lũy kế: > Thanh lý,Thanh lý,5.792.167.692,395.833.322,6.188.001.014,5792167692.0,395833322.0,6188001014.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(19.648.877.875),(15.975.560.452),(35.624.438.327),-19648877875.0,-15975560452.0,-35624438327.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,136.164.042.416,38.560.251.899,174.724.294.315,136164042416.0,38560251899.0,174724294315.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,120.456.534.388,35.690.796.281,156.147.330.669,120456534388.0,35690796281.0,156147330669.0
