row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,Khác,VND Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__Khác,numeric__VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,43.484.939.916,2.865.253.200,697.830.000,47.048.023.116,43484939916.0,2865253200.0,697830000.0,47048023116.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,-,991.656.000,-,991.656.000,,991656000.0,,991656000.0
Đầu tư XDCB hoàn thành,Nguyên giá: > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,-,277.000.000,-,277.000.000,,277000000.0,,277000000.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,43.484.939.916,4.133.909.200,697.830.000,48.316.679.116,43484939916.0,4133909200.0,697830000.0,48316679116.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,
Đã hao mòn hết,Trong đó: > Đã hao mòn hết,Đã hao mòn hết,-,1.953.982.200,-,1.953.982.200,,1953982200.0,,1953982200.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,(7.834.111.279),(2.324.262.401),(232.610.000),(10.390.983.680),-7834111279.0,-2324262401.0,-232610000.0,-10390983680.0
Hao mòn trong năm,Giá trị hao mòn lũy kế: > Hao mòn trong năm,Hao mòn trong năm,(1.001.091.078),(229.070.213),(232.610.004),(1.462.771.295),-1001091078.0,-229070213.0,-232610004.0,-1462771295.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,(8.835.202.357),(2.553.332.614),(465.220.004),(11.853.754.975),-8835202357.0,-2553332614.0,-465220004.0,-11853754975.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,35.650.828.637,540.990.799,465.220.000,36.657.039.436,35650828637.0,540990799.0,465220000.0,36657039436.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,34.649.737.559,1.580.576.586,232.609.996,36.462.924.141,34649737559.0,1580576586.0,232609996.0,36462924141.0
