row_label_raw,row_label_full,Số đầu năm > Tăng trong năm,617.442.966.000 > 156.038.920.000,numeric__617.442.966.000 > 156.038.920.000
Giảm do thanh lý khoản đầu tư,Giảm do thanh lý khoản đầu tư,Giảm do thanh lý khoản đầu tư,(17.409.996.000),-17409996000.0
Chuyển thành công ty con,Chuyển thành công ty con,Chuyển thành công ty con,(32.550.000.000),-32550000000.0
Số cuối năm,Số cuối năm,Số cuối năm,723.521.890.000,723521890000.0
