row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Máy mócvà thiết bị,Phương tiệnvận tải,Thiết bịvăn phòng,Khác,Tổng cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy mócvà thiết bị,numeric__Phương tiệnvận tải,numeric__Thiết bịvăn phòng,numeric__Khác,numeric__Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,738.339.165.913,471.352.063.434,51.486.506.513,3.038.346.617,-,1.264.216.082.477,738339165913.0,471352063434.0,51486506513.0,3038346617.0,,1264216082477.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,267.095.000,4.832.371.558,3.357.109.091,392.627.607,520.909.091,9.370.112.347,267095000.0,4832371558.0,3357109091.0,392627607.0,520909091.0,9370112347.0
Kết chuyển từxây dựng cơ bản dở dang,Nguyên giá: > Kết chuyển từxây dựng cơ bản dở dang,Kết chuyển từxây dựng cơ bản dở dang,25.955.431.148,4.878.925.128,387.589.091,1.546.479.819,48.832.129,32.817.257.315,25955431148.0,4878925128.0,387589091.0,1546479819.0,48832129.0,32817257315.0
Tăng do mua công ty con,Nguyên giá: > Tăng do mua công ty con,Tăng do mua công ty con,-,-,909.090.909,-,-,909.090.909,,,909090909.0,,,909090909.0
Thanh lý,Nguyên giá: > Thanh lý,Thanh lý,-,(329.662.716),(1.478.589.385),(158.876.907),-,(1.967.129.008),,-329662716.0,-1478589385.0,-158876907.0,,-1967129008.0
Giảm khác,Nguyên giá: > Giảm khác,Giảm khác,(1.583.172.670),-,-,-,-,(1.583.172.670),-1583172670.0,,,,,-1583172670.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,762.978.519.391,480.733.697.404,54.661.706.219,4.818.577.136,569.741.220,1.303.762.241.370,762978519391.0,480733697404.0,54661706219.0,4818577136.0,569741220.0,1303762241370.0
Trong đó:Dã khấu hao hết,Nguyên giá: > Trong đó:Dã khấu hao hết,Trong đó:Dã khấu hao hết,30.173.302.012,246.176.592.929,8.170.782.771,2.555.584.256,-,287.076.261.968,30173302012.0,246176592929.0,8170782771.0,2555584256.0,,287076261968.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(84.246.903.507),(367.411.626.441),(28.130.406.220),(2.879.086.092),-,(482.668.022.260),-84246903507.0,-367411626441.0,-28130406220.0,-2879086092.0,,-482668022260.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(21.791.387.981),(25.697.492.832),(5.196.116.001),(152.239.250),(50.643.915),(52.887.879.979),-21791387981.0,-25697492832.0,-5196116001.0,-152239250.0,-50643915.0,-52887879979.0
Thanh lý,Giá trị khấu hao lũy kế: > Thanh lý,Thanh lý,-,329.662.716,1.397.451.050,158.876.907,-,1.885.990.673,,329662716.0,1397451050.0,158876907.0,,1885990673.0
Giảm khác,Giá trị khấu hao lũy kế: > Giảm khác,Giảm khác,9.132.906,-,-,-,-,9.132.906,9132906.0,,,,,9132906.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(106.029.158.582),(392.779.456.557),(31.929.071.171),(2.872.448.435),(50.643.915),(533.660.778.660),-106029158582.0,-392779456557.0,-31929071171.0,-2872448435.0,-50643915.0,-533660778660.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,654.092.262.406,103.940.436.993,23.356.100.293,159.260.525,-,781.548.060.217,654092262406.0,103940436993.0,23356100293.0,159260525.0,,781548060217.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,656.949.360.809,87.954.240.847,22.732.635.048,1.946.128.701,519.097.305,770.101.462.710,656949360809.0,87954240847.0,22732635048.0,1946128701.0,519097305.0,770101462710.0
Trong đó:Tài sản thế chấp(Thuyết minh số 24.5),Giá trị còn lại: > Trong đó:Tài sản thế chấp(Thuyết minh số 24.5),Trong đó:Tài sản thế chấp(Thuyết minh số 24.5),358.374.062.088,12.996.310.484,2.486.015.790,-,-,373.856.388.362,358374062088.0,12996310484.0,2486015790.0,,,373856388362.0
