row_label_raw,row_label_full,Bất động sản đầu tư cho thuê(Thuyết minh số 16.1),Số cuối năm > 156.147.330.669,VND Số đầu năm > 174.724.294.315,numeric__Số cuối năm > 156.147.330.669,numeric__VND Số đầu năm > 174.724.294.315
Bất động sản đầu tư nằm giữ chờ tăng giá,Bất động sản đầu tư nằm giữ chờ tăng giá,Bất động sản đầu tư nằm giữ chờ tăng giá,-,11.211.821.819,,11211821819.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,156.147.330.669,185.936.116.134,156147330669.0,185936116134.0
