row_label_raw,row_label_full,col_0,Vốn cổ phần,Thăng dư vốn cổ phần,Quỹ đầu tưphát triển,Lợi nhuận sau thuếchưa phân phối,VNDTổng cộng,numeric__Vốn cổ phần,numeric__Thăng dư vốn cổ phần,numeric__Quỹ đầu tưphát triển,numeric__Lợi nhuận sau thuếchưa phân phối,numeric__VNDTổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,
Số dư đầu năm,Năm trước > Số dư đầu năm,Số dư đầu năm,1.802.353.360.000,406.943.449.943,157.223.527.798,45.195.094.472,2.411.715.432.213,1802353360000.0,406943449943.0,157223527798.0,45195094472.0,2411715432213.0
Tăng vốn cổ phần,Năm trước > Tăng vốn cổ phần,Tăng vốn cổ phần,615.503.670.000,(406.943.449.943),(150.686.343.956),(57.873.876.101),-,615503670000.0,-406943449943.0,-150686343956.0,-57873876101.0,
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,109.181.495.840,109.181.495.840,,,,109181495840.0,109181495840.0
Trích quỹ đầu tư phát triển,Năm trước > Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,2.613.598.873,(2.613.598.873),-,,,2613598873.0,-2613598873.0,
"Trích quỹ khen thưởng, phúc lợi","Năm trước > Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,(13.607.774.022),(13.607.774.022),,,,-13607774022.0,-13607774022.0
Tăng (giảm) do thay đổi quyềnsở hữu trong công ty con,Năm trước > Tăng (giảm) do thay đổi quyềnsở hữu trong công ty con,Tăng (giảm) do thay đổi quyềnsở hữu trong công ty con,-,-,(151.629.841),13.477.952.841,13.326.323.000,,,-151629841.0,13477952841.0,13326323000.0
Số dư cuối năm,Năm trước > Số dư cuối năm,Số dư cuối năm,2.417.857.030.000,-,8.999.152.874,93.759.294.157,2.520.615.477.031,2417857030000.0,,8999152874.0,93759294157.0,2520615477031.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,
Số dư đầu năm,Năm nay > Số dư đầu năm,Số dư đầu năm,2.417.857.030.000,-,8.999.152.874,93.759.294.157,2.520.615.477.031,2417857030000.0,,8999152874.0,93759294157.0,2520615477031.0
Cổ tức bằng cổ phiếu (*),Năm nay > Cổ tức bằng cổ phiếu (*),Cổ tức bằng cổ phiếu (*),72.505.600.000,-,-,(72.505.600.000),-,72505600000.0,,,-72505600000.0,
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,99.106.482.347,99.106.482.347,,,,99106482347.0,99106482347.0
"Trích quỹ khen thưởng, phúc lợi","Năm nay > Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,(3.464.276.718),(3.464.276.718),,,,-3464276718.0,-3464276718.0
Giảm do thay đổi quyềnsở hữu trong các công ty con,Năm nay > Giảm do thay đổi quyềnsở hữu trong các công ty con,Giảm do thay đổi quyềnsở hữu trong các công ty con,-,-,-,(135.072.999),(135.072.999),,,,-135072999.0,-135072999.0
Khác,Năm nay > Khác,Khác,-,-,(21.793.125),-,(21.793.125),,,-21793125.0,,-21793125.0
Số dư cuối năm,Năm nay > Số dư cuối năm,Số dư cuối năm,2.490.362.630.000,-,8.977.359.749,116.760.826.787,2.616.100.816.536,2490362630000.0,,8977359749.0,116760826787.0,2616100816536.0
