row_label_raw,row_label_full,"Hàng hóa, công cụ dụng cụ",- chi phí mua theo phương pháp bình quân gia quyền,numeric__- chi phí mua theo phương pháp bình quân gia quyền
Nguyên vật liệu dùng cho sản xuất,Nguyên vật liệu dùng cho sản xuất,Nguyên vật liệu dùng cho sản xuất,- chi phí mua theo phương pháp bình quân gia quyền,
Thành phẩm và chi phí sản xuất kinh doanh,Thành phẩm và chi phí sản xuất kinh doanh,Thành phẩm và chi phí sản xuất kinh doanh,- giá vốn nguyên vật liệu và lao động trực tiếp công chi phí sản xuất chung có liên quan theo phương pháp bình quân gia quyền,
