row_label_raw,row_label_full,col_0,Mã cổ phiếu,Số cuối năm > Giá gốc,Số cuối năm > Giá trị hợp lý,Số cuối năm > Dự phòng,Số đầu năm > Giá gốc,Số đầu năm > Giá trị hợp lý,Số đầu năm > Dự phòng,VND,numeric__Mã cổ phiếu,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị hợp lý,numeric__Số cuối năm > Dự phòng,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Giá trị hợp lý,numeric__Số đầu năm > Dự phòng,numeric__VND
Chứng khoán kinh doanh:,Chứng khoán kinh doanh:,Chứng khoán kinh doanh:,Chứng khoán kinh doanh:,Chứng khoán kinh doanh:,Chứng khoán kinh doanh:,Chứng khoán kinh doanh:,Chứng khoán kinh doanh:,Chứng khoán kinh doanh:,Chứng khoán kinh doanh:,Chứng khoán kinh doanh:,,,,,,,,
- Tổng Công ty Dược Việt Nam – CTCP (*),Chứng khoán kinh doanh: > - Tổng Công ty Dược Việt Nam – CTCP (*),- Tổng Công ty Dược Việt Nam – CTCP (*),DVN,283.624.800.000,203.196.000.000,(80.428.800.000),283.624.800.000,248.862.000.000,(34.762.800.000),,,283624800000.0,203196000000.0,-80428800000.0,283624800000.0,248862000000.0,-34762800000.0,
- Công ty Cổ phần Nhựa Đồng Nai (*),Chứng khoán kinh doanh: > - Công ty Cổ phần Nhựa Đồng Nai (*),- Công ty Cổ phần Nhựa Đồng Nai (*),DNP,97.995.673.350,107.971.200.000,-,,,,,,97995673350.0,107971200000.0,,,,,
- Công ty Cổ phần Alphanam,Chứng khoán kinh doanh: > - Công ty Cổ phần Alphanam,- Công ty Cổ phần Alphanam,ALP,7.243.518.147,1.772.604.084,(5.470.914.063),7.243.518.147,1.772.604.084,(5.470.914.063),,,7243518147.0,1772604084.0,-5470914063.0,7243518147.0,1772604084.0,-5470914063.0,
- Công ty Cổ phần Phân lân Nung chảy Văn Điển,Chứng khoán kinh doanh: > - Công ty Cổ phần Phân lân Nung chảy Văn Điển,- Công ty Cổ phần Phân lân Nung chảy Văn Điển,VAF,1.762.360.000,2.565.987.200,-,1.762.360.000,2.291.060.000,-,,,1762360000.0,2565987200.0,,1762360000.0,2291060000.0,,
- Tổng Công ty Cổ phần Khoan và Dịch vụ Khoan dầu khí,Chứng khoán kinh doanh: > - Tổng Công ty Cổ phần Khoan và Dịch vụ Khoan dầu khí,- Tổng Công ty Cổ phần Khoan và Dịch vụ Khoan dầu khí,PVD,492.076.560,263.676.000,(228.400.560),492.076.560,421.701.000,(70.375.560),,,492076560.0,263676000.0,-228400560.0,492076560.0,421701000.0,-70375560.0,
- Công ty Cổ phần Tập đoàn Kỹ nghệ Gỗ Trường Thành,Chứng khoán kinh doanh: > - Công ty Cổ phần Tập đoàn Kỹ nghệ Gỗ Trường Thành,- Công ty Cổ phần Tập đoàn Kỹ nghệ Gỗ Trường Thành,TTF,-,-,-,147.060.363.199,153.760.700.100,-,,,,,,147060363199.0,153760700100.0,,
- Công ty Cổ phần Tập đoàn Đất Xanh,Chứng khoán kinh doanh: > - Công ty Cổ phần Tập đoàn Đất Xanh,- Công ty Cổ phần Tập đoàn Đất Xanh,DXG,-,-,-,141.552.410.600,159.908.995.050,-,,,,,,141552410600.0,159908995050.0,,
- Công ty Cổ phần Quốc tế Sơn Hà,Chứng khoán kinh doanh: > - Công ty Cổ phần Quốc tế Sơn Hà,- Công ty Cổ phần Quốc tế Sơn Hà,SHI,-,-,-,43.629,43.629,-,,,,,,43629.0,43629.0,,
TỔNG CỘNG,Chứng khoán kinh doanh: > TỔNG CỘNG,TỔNG CỘNG,,391.118.428.057,315.769.467.284,(86.128.114.623),581.735.572.135,567.017.103.863,(40.304.089.623),,,391118428057.0,315769467284.0,-86128114623.0,581735572135.0,567017103863.0,-40304089623.0,
