row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Năm nay,VND Năm trước,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Năm nay,numeric__VND Năm trước
Công ty Cổ phần Dịch vụ Du lịch Phú Thọ,Công ty Cổ phần Dịch vụ Du lịch Phú Thọ,Công ty Cổ phần Dịch vụ Du lịch Phú Thọ,Công ty liên kết,Cổ tứcChi phí dịch vụ,17.244.712.500156.870.913,-,,,1.724471250015687e+19,
Công ty Cổ phần Phú Hữu Gia,Công ty Cổ phần Phú Hữu Gia,Công ty Cổ phần Phú Hữu Gia,Bên liên quan,VayGóp vốn HĐHTĐT Lãi vay Cho vay Lãi cho vay,57.000.000.00020.000.000.000924.493.151700.000.000631.944,-,,,5.70000000002e+45,
Ông Phương Thành Long,Ông Phương Thành Long,Ông Phương Thành Long,Phó Tổng Giám đốc,Góp vốn HĐHTĐT Tạm ứng,19.150.000.000900.000.000,-,,,1.91500000009e+19,
Công ty Cổ phần Vật liệu điện và Viễn thông Sam Cường,Công ty Cổ phần Vật liệu điện và Viễn thông Sam Cường,Công ty Cổ phần Vật liệu điện và Viễn thông Sam Cường,Công ty liên kết,Mua hàngBán hàng hóaChi phí gia côngBán thành phẩmCung cấp dịch vụ,2.277.224.2801.667.685.600186.970.65630.572.5205.750.000,2.695.443.224189.835.023441.231.07215.145.000.00038.585.023,,,2.277224280166769e+43,2.695443224189835e+46
Ông Trần Việt Anh,Ông Trần Việt Anh,Ông Trần Việt Anh,Tổng Giám đốc,Góp vốn HĐHTĐT Tạm ứng,1.000.000.0002.295.000.000,-,,,1.0000000002295e+19,
Công ty Cổ phần Đầu tư và Phát triển Hạ tầng An Việt,Công ty Cổ phần Đầu tư và Phát triển Hạ tầng An Việt,Công ty Cổ phần Đầu tư và Phát triển Hạ tầng An Việt,Công ty liên kết,Lãi cho vay,626.076.387,631.222.222,,,626076387.0,631222222.0
Ông Phạm Ngọc Tùng,Ông Phạm Ngọc Tùng,Ông Phạm Ngọc Tùng,Phó Tổng Giám đốc,Thu lại tiền ủy thác đầu tưLãi từ ủy thác đầu tưChuyển tiền ủy thác đầu tư,-,17.971.380.0003.000.000.000971.380.000,,,,1.79713800003e+29
Công ty Cổ phần Capella Việt Nam,Công ty Cổ phần Capella Việt Nam,Công ty Cổ phần Capella Việt Nam,Công ty liên kết,Góp vốn,-,3.148.000.000,,,,3148000000.0
Ông Trần Anh Vương,Ông Trần Anh Vương,Ông Trần Anh Vương,Tổng Giám đốc,Tạm ứng,-,2.991.861.059,,,,2991861059.0
Ông Hà Hoàng Thế Quang,Ông Hà Hoàng Thế Quang,Ông Hà Hoàng Thế Quang,Phó Tổng Giám đốc,Tạm ứng,-,282.000.000,,,,282000000.0
