row_label_raw,row_label_full,Thuế giá trị gia tăng,Ngày 1 tháng 1năm 2023VND > 46.403.908.753,Phát sinh trong năm > Số phải nộpVND > 139.102.558.735,Phát sinh trong năm > Số đã nộpVND > (116.960.344.042),Phát sinh trong năm > 68.546.123.446,Ngày 31 tháng 12năm 2023VND,numeric__Ngày 1 tháng 1năm 2023VND > 46.403.908.753,numeric__Phát sinh trong năm > Số phải nộpVND > 139.102.558.735,numeric__Phát sinh trong năm > Số đã nộpVND > (116.960.344.042),numeric__Phát sinh trong năm > 68.546.123.446,numeric__Ngày 31 tháng 12năm 2023VND
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,347.196.153.151,835.891.344.852,(865.011.430.481),318.076.067.522,,347196153151.0,835891344852.0,-865011430481.0,318076067522.0,
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,8.018.287.030,107.465.355.341,(105.624.326.967),9.859.315.404,,8018287030.0,107465355341.0,-105624326967.0,9859315404.0,
Thuế nhà thầu,Thuế nhà thầu,Thuế nhà thầu,1.502.535.528,11.146.240.068,(11.622.455.099),1.026.320.497,,1502535528.0,11146240068.0,-11622455099.0,1026320497.0,
Thuế nhà đất,Thuế nhà đất,Thuế nhà đất,-,1.812.806.031,(1.812.806.031),-,,,1812806031.0,-1812806031.0,,
Thuế khác,Thuế khác,Thuế khác,-,158.000.000,(158.000.000),-,,,158000000.0,-158000000.0,,
,,,403.120.884.462,1.095.576.305.027,(1.101.189.362.620),397.507.826.869,,403120884462.0,1095576305027.0,-1101189362620.0,397507826869.0,
25. VỐN CHỦ SỞ HỮU,25. VỐN CHỦ SỞ HỮU,25. VỐN CHỦ SỞ HỮU,25. VỐN CHỦ SỞ HỮU,25. VỐN CHỦ SỞ HỮU,25. VỐN CHỦ SỞ HỮU,25. VỐN CHỦ SỞ HỮU,25. VỐN CHỦ SỞ HỮU,,,,,
25.1 Báo cáo tình hình thay đổi vốn chủ sở hữu,25.1 Báo cáo tình hình thay đổi vốn chủ sở hữu,25.1 Báo cáo tình hình thay đổi vốn chủ sở hữu,25.1 Báo cáo tình hình thay đổi vốn chủ sở hữu,25.1 Báo cáo tình hình thay đổi vốn chủ sở hữu,25.1 Báo cáo tình hình thay đổi vốn chủ sở hữu,25.1 Báo cáo tình hình thay đổi vốn chủ sở hữu,25.1 Báo cáo tình hình thay đổi vốn chủ sở hữu,,,,,
,,,Vốn điều lệVND,Thăng dưvốn cổ phầnVND,Quỹ của TCTDVND,Lợi nhuậnchưa phân phốiVND,Tổng cộngVND,,,,,
Số dư tại ngày 1 tháng 1 năm 2023,25.1 Báo cáo tình hình thay đổi vốn chủ sở hữu > Số dư tại ngày 1 tháng 1 năm 2023,Số dư tại ngày 1 tháng 1 năm 2023,13.698.828.630.000,1.702.686.297.348,2.793.404.054.952,7.077.168.934.988,25.272.087.917.288,13698828630000.0,1702686297348.0,2793404054952.0,7077168934988.0,25272087917288.0
Tăng vốn,25.1 Báo cáo tình hình thay đổi vốn chủ sở hữu > Tăng vốn,Tăng vốn,6.849.414.310.000,(1.649.414.310.000),(700.000.000.000),(4.500.000.000.000),-,6849414310000.0,-1649414310000.0,-700000000000.0,-4500000000000.0,
Lợi nhuận thuần trong năm,25.1 Báo cáo tình hình thay đổi vốn chủ sở hữu > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,3.302.349.796.949,3.302.349.796.949,,,,3302349796949.0,3302349796949.0
Trích lập các quỹ,25.1 Báo cáo tình hình thay đổi vốn chủ sở hữu > Trích lập các quỹ,Trích lập các quỹ,-,-,495.352.469.542,(495.352.469.542),-,,,495352469542.0,-495352469542.0,
"Trích lập quỹ khen thưởng, phúc lợi","25.1 Báo cáo tình hình thay đổi vốn chủ sở hữu > Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,-,(39.838.612.578),(39.838.612.578),,,,-39838612578.0,-39838612578.0
Số dư tại ngày 31 tháng 12 năm 2023,25.1 Báo cáo tình hình thay đổi vốn chủ sở hữu > Số dư tại ngày 31 tháng 12 năm 2023,Số dư tại ngày 31 tháng 12 năm 2023,20.548.242.940.000,53.271.987.348,2.588.756.524.494,5.344.327.649.817,28.534.599.101.659,20548242940000.0,53271987348.0,2588756524494.0,5344327649817.0,28534599101659.0
