row_label_raw,row_label_full,col_0,Kinh doanh VND,Cho vay và phải thu VND,Sản sàng để bán VND,Tài sản/(Công nợ) khác hạch toán theo giá trị phân bổ VND,Tổng cộng giá trị ghi sổ VND,Giá trị hợp lý,numeric__Kinh doanh VND,numeric__Cho vay và phải thu VND,numeric__Sản sàng để bán VND,numeric__Tài sản/(Công nợ) khác hạch toán theo giá trị phân bổ VND,numeric__Tổng cộng giá trị ghi sổ VND,numeric__Giá trị hợp lý
Các tài sản tài chính,Các tài sản tài chính,Các tài sản tài chính,Các tài sản tài chính,Các tài sản tài chính,Các tài sản tài chính,Các tài sản tài chính,Các tài sản tài chính,Các tài sản tài chính,,,,,,
"Tiền mặt, vàng bạc, đá quý","Các tài sản tài chính > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,-,-,779.733.563.086,779.733.563.086,779.733.563.086,,,,779733563086.0,779733563086.0,779733563086.0
Tiền gửi tại NHNN,Các tài sản tài chính > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,-,6.965.365.039.785,6.965.365.039.785,6.965.365.039.785,,,,6965365039785.0,6965365039785.0,6965365039785.0
Tiền gửi tại và cho vay các TCTD khác,Các tài sản tài chính > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,-,1.596.301.534.449,-,32.303.914.945.061,33.900.216.479.510,(*),,1596301534449.0,,32303914945061.0,33900216479510.0,
Các công cụ tài chính phải sinh và tài sản tài chính khác,Các tài sản tài chính > Các công cụ tài chính phải sinh và tài sản tài chính khác,Các công cụ tài chính phải sinh và tài sản tài chính khác,-,-,-,41.473.565.365,41.473.565.365,(*),,,,41473565365.0,41473565365.0,
Cho vay khách hàng - gộp,Các tài sản tài chính > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,-,147.206.466.215.571,-,-,147.206.466.215.571,(*),,147206466215571.0,,,147206466215571.0,
Hoạt động mua nợ - gộp,Các tài sản tài chính > Hoạt động mua nợ - gộp,Hoạt động mua nợ - gộp,-,550.900.000.000,-,-,550.900.000.000,(*),,550900000000.0,,,550900000000.0,
Chứng khoán sẵn sàng để bán - gộp,Các tài sản tài chính > Chứng khoán sẵn sàng để bán - gộp,Chứng khoán sẵn sàng để bán - gộp,-,-,40.331.397.720.516,-,40.331.397.720.516,(*),,,40331397720516.0,,40331397720516.0,
"Góp vốn, đầu tư dài hạn","Các tài sản tài chính > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",-,-,-,25.000.000.000,25.000.000.000,(*),,,,25000000000.0,25000000000.0,
Tài sản tài chính khác - gộp,Các tài sản tài chính > Tài sản tài chính khác - gộp,Tài sản tài chính khác - gộp,-,8.477.259.120.282,-,-,8.477.259.120.282,(*),,8477259120282.0,,,8477259120282.0,
,,,-,157.830.926.870.302,40.331.397.720.516,40.115.487.113.297,238.277.811.704.115,,,157830926870302.0,40331397720516.0,40115487113297.0,238277811704115.0,
Các công nợ tài chính,Các công nợ tài chính,Các công nợ tài chính,Các công nợ tài chính,Các công nợ tài chính,Các công nợ tài chính,Các công nợ tài chính,Các công nợ tài chính,Các công nợ tài chính,,,,,,
Các khoản nợ Chính phủ và NHNN,Các công nợ tài chính > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,-,94.394.453.562,94.394.453.562,(*),,,,94394453562.0,94394453562.0,
"Tiền gửi và vay các tổ chức tài chính, các TCTD khác","Các công nợ tài chính > Tiền gửi và vay các tổ chức tài chính, các TCTD khác","Tiền gửi và vay các tổ chức tài chính, các TCTD khác",-,-,-,31.039.865.195.767,31.039.865.195.767,(*),,,,31039865195767.0,31039865195767.0,
Tiền gửi của khách hàng,Các công nợ tài chính > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,-,125.968.487.476.629,125.968.487.476.629,(*),,,,125968487476629.0,125968487476629.0,
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Các công nợ tài chính > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,-,4.358.195.253.813,4.358.195.253.813,(*),,,,4358195253813.0,4358195253813.0,
Phát hành giấy tờ có giá,Các công nợ tài chính > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,37.808.325.000.000,37.808.325.000.000,(*),,,,37808325000000.0,37808325000000.0,
Các khoản nợ tài chính khác,Các công nợ tài chính > Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,-,-,-,12.334.188.454.002,12.334.188.454.002,(*),,,,12334188454002.0,12334188454002.0,
,,,-,-,-,211.603.455.833.773,211.603.455.833.773,,,,,211603455833773.0,211603455833773.0,
