row_label_raw,row_label_full,Các chứng từ có giá trị khác đang bảo quản,Số cuối năm VND > 12.654.655.550.357,Số đầu năm VND > 15.659.938.327.414,numeric__Số cuối năm VND > 12.654.655.550.357,numeric__Số đầu năm VND > 15.659.938.327.414
Tài sản khác giữ hộ,Tài sản khác giữ hộ,Tài sản khác giữ hộ,12.056.452.521.418,14.380.127.371.130,12056452521418.0,14380127371130.0
Tài sản bảo đảm nhận thay thế,Tài sản bảo đảm nhận thay thế,Tài sản bảo đảm nhận thay thế,2.548.371.690.420,1.289.166.846.231,2548371690420.0,1289166846231.0
Tài sản thuê ngoài,Tài sản thuê ngoài,Tài sản thuê ngoài,20.329.357.200,20.329.357.200,20329357200.0,20329357200.0
"Kim loại quý, đá quý giữ hộ","Kim loại quý, đá quý giữ hộ","Kim loại quý, đá quý giữ hộ",3.601.500.000,3.248.700.000,3601500000.0,3248700000.0
,,,27.283.410.619.395,31.352.810.601.975,27283410619395.0,31352810601975.0
