row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2023VND,Ngày 31 tháng 12năm 2022VND,numeric__Ngày 31 tháng 12năm 2023VND,numeric__Ngày 31 tháng 12năm 2022VND
USD,USD,USD,"24.258,50","23.540,00",24258.5,23540.0
EUR,EUR,EUR,"26.843,50","25.269,00",26843.5,25269.0
GBP,GBP,GBP,"30.977,00","28.602,00",30977.0,28602.0
JPY,JPY,JPY,"172,43","180,18",172.43,180.18
CAD,CAD,CAD,"18.358,00","17.436,50",18358.0,17436.5
AUD,AUD,AUD,"16.569,00","16.104,00",16569.0,16104.0
SGD,SGD,SGD,"18.430,00","17.631,50",18430.0,17631.5
KRW,KRW,KRW,"19,74","19,73",19.74,19.73
CNY,CNY,CNY,"3.416,50","3.415,50",3416.5,3415.5
THB,THB,THB,"726,00","703,00",726.0,703.0
CHF,CHF,CHF,"29.240,00","25.984,00",29240.0,25984.0
NZD,NZD,NZD,"15.812,00","15.454,00",15812.0,15454.0
HKD,HKD,HKD,"3.156,00","3.069,00",3156.0,3069.0
SEK,SEK,SEK,"2.391,94","2.257,74",2391.94,2257.74
TWD,TWD,TWD,"890,59","767,78",890.59,767.78
XAU,XAU,XAU,"7.350.000,00","6.630.000,00",7350000.0,6630000.0
