row_label_raw,row_label_full,col_0,Thuyết minh,Năm nay VND,Năm trước VND,numeric__Thuyết minh,numeric__Năm nay VND,numeric__Năm trước VND
Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,26,18.126.740.689.099,14.067.731.941.564,26.0,18126740689099.0,14067731941564.0
Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,27,(11.363.534.056.698),(7.121.547.012.939),27.0,-11363534056698.0,-7121547012939.0
Thu nhập lãi thuần,Thu nhập lãi thuần,Thu nhập lãi thuần,,6.763.206.632.401,6.946.184.928.625,,6763206632401.0,6946184928625.0
Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,,997.491.617.180,1.124.566.731.130,,997491617180.0,1124566731130.0
Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,,(115.337.751.825),(110.260.212.678),,-115337751825.0,-110260212678.0
Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,28,882.153.865.355,1.014.306.518.452,28.0,882153865355.0,1014306518452.0
Lãi thuần từ hoạt động kinh doanh ngoại hối,Lãi thuần từ hoạt động kinh doanh ngoại hối,Lãi thuần từ hoạt động kinh doanh ngoại hối,29,389.064.926.979,145.118.554.754,29.0,389064926979.0,145118554754.0
Lãi/(lỗ) thuần từ mua bán chứng khoán kinh doanh,Lãi/(lỗ) thuần từ mua bán chứng khoán kinh doanh,Lãi/(lỗ) thuần từ mua bán chứng khoán kinh doanh,30,1.496.347.500,(77.265.017.750),30.0,1496347500.0,-77265017750.0
Lãi/(lỗ) thuần từ mua bán chứng khoán đầu tư,Lãi/(lỗ) thuần từ mua bán chứng khoán đầu tư,Lãi/(lỗ) thuần từ mua bán chứng khoán đầu tư,31,646.561.649.571,(140.196.342.607),31.0,646561649571.0,-140196342607.0
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,,1.499.944.064.869,783.661.855.763,,1499944064869.0,783661855763.0
Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,,(1.246.552.733.976),(139.500.228.447),,-1246552733976.0,-139500228447.0
Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,32,253.391.330.893,644.161.627.316,32.0,253391330893.0,644161627316.0
Thu nhập từ góp vốn mua cổ phần,Thu nhập từ góp vốn mua cổ phần,Thu nhập từ góp vốn mua cổ phần,33,-,853.080.106,33.0,,853080106.0
TỔNG THU NHẬP HOẠT ĐỘNG,TỔNG THU NHẬP HOẠT ĐỘNG,TỔNG THU NHẬP HOẠT ĐỘNG,,8.935.874.752.699,8.533.163.348.896,,8935874752699.0,8533163348896.0
CHI PHÍ HOẠT ĐỘNG,CHI PHÍ HOẠT ĐỘNG,CHI PHÍ HOẠT ĐỘNG,34,(3.170.408.245.675),(3.075.687.143.819),34.0,-3170408245675.0,-3075687143819.0
Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,,5.765.466.507.024,5.457.476.205.077,,5765466507024.0,5457476205077.0
Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,,(1.627.225.365.223),(1.067.461.492.385),,-1627225365223.0,-1067461492385.0
TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,,4.138.241.141.801,4.390.014.712.692,,4138241141801.0,4390014712692.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,35,(835.891.344.852),(879.589.703.439),35.0,-835891344852.0,-879589703439.0
Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,,(835.891.344.852),(879.589.703.439),,-835891344852.0,-879589703439.0
LỢI NHUẬN SAU THUẾ,LỢI NHUẬN SAU THUẾ,LỢI NHUẬN SAU THUẾ,,3.302.349.796.949,3.510.425.009.253,,3302349796949.0,3510425009253.0
