row_label_raw,row_label_full,col_0,Miền Nam VND,Miền Bắc VND,Miền Trung VND,Loại trừ VND,Tổng công VND,numeric__Miền Nam VND,numeric__Miền Bắc VND,numeric__Miền Trung VND,numeric__Loại trừ VND,numeric__Tổng công VND
I. Doanh thu,I. Doanh thu,I. Doanh thu,I. Doanh thu,I. Doanh thu,I. Doanh thu,I. Doanh thu,I. Doanh thu,,,,,
1. Doanh thu lãi,I. Doanh thu > 1. Doanh thu lãi,1. Doanh thu lãi,40.208.158.956.908,4.632.383.130.771,3.317.626.685.895,(30.031.428.084.475),18.126.740.689.099,40208158956908.0,4632383130771.0,3317626685895.0,-30031428084475.0,18126740689099.0
Doanh thu lãi từ khách hàng bên ngoài,I. Doanh thu > Doanh thu lãi từ khách hàng bên ngoài,Doanh thu lãi từ khách hàng bên ngoài,12.863.607.418.207,2.894.612.825.670,2.368.520.445.222,,18.126.740.689.099,12863607418207.0,2894612825670.0,2368520445222.0,,18126740689099.0
Doanh thu lãi nội bộ,I. Doanh thu > Doanh thu lãi nội bộ,Doanh thu lãi nội bộ,27.344.551.538.701,1.737.770.305.101,949.106.240.673,(30.031.428.084.475),-,27344551538701.0,1737770305101.0,949106240673.0,-30031428084475.0,
2. Doanh thu từ hoạt động dịch vụ,I. Doanh thu > 2. Doanh thu từ hoạt động dịch vụ,2. Doanh thu từ hoạt động dịch vụ,836.095.783.456,123.432.770.999,37.963.062.725,,997.491.617.180,836095783456.0,123432770999.0,37963062725.0,,997491617180.0
3. Doanh thu từ hoạt động kinh doanh khác,I. Doanh thu > 3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,3.681.281.548.422,197.768.816.854,115.199.135.488,(903.319.503.251),3.090.929.997.513,3681281548422.0,197768816854.0,115199135488.0,-903319503251.0,3090929997513.0
II. Chi phí,II. Chi phí,II. Chi phí,II. Chi phí,II. Chi phí,II. Chi phí,II. Chi phí,II. Chi phí,,,,,
1. Chi phí lãi,II. Chi phí > 1. Chi phí lãi,1. Chi phí lãi,(35.110.320.823.616),(3.773.075.363.240),(2.511.565.954.317),30.031.428.084.475,(11.363.534.056.698),-35110320823616.0,-3773075363240.0,-2511565954317.0,30031428084475.0,-11363534056698.0
Chi phí lãi cho khách hàng bên ngoài,II. Chi phí > Chi phí lãi cho khách hàng bên ngoài,Chi phí lãi cho khách hàng bên ngoài,(9.077.483.576.044),(1.478.731.980.589),(807.318.500.065),,(11.363.534.056.698),-9077483576044.0,-1478731980589.0,-807318500065.0,,-11363534056698.0
Chi phí lãi nội bộ,II. Chi phí > Chi phí lãi nội bộ,Chi phí lãi nội bộ,(26.032.837.247.572),(2.294.343.382.651),(1.704.247.454.252),30.031.428.084.475,-,-26032837247572.0,-2294343382651.0,-1704247454252.0,30031428084475.0,
