row_label_raw,row_label_full,col_0,Thuyết minh,Năm nay VND,Năm trước VND,numeric__Thuyết minh,numeric__Năm nay VND,numeric__Năm trước VND
LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,,,
Mua sắm tài sản cố định,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ > Mua sắm tài sản cố định,Mua sắm tài sản cố định,,(381.419.983.500),(3.134.726.710.532),,-381419983500.0,-3134726710532.0
"Tiền thu từ thanh lý, nhượng bán tài sản cố định","LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ > Tiền thu từ thanh lý, nhượng bán tài sản cố định","Tiền thu từ thanh lý, nhượng bán tài sản cố định",,1.350.311.713.634,1.600.232.775.204,,1350311713634.0,1600232775204.0
"Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn","LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ > Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn","Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",33,-,853.080.106,33.0,,853080106.0
Lưu chuyển tiền từ/(sử dụng vào) hoạt động đầu tư,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ > Lưu chuyển tiền từ/(sử dụng vào) hoạt động đầu tư,Lưu chuyển tiền từ/(sử dụng vào) hoạt động đầu tư,,968.891.730.134,(1.533.640.855.222),,968891730134.0,-1533640855222.0
LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,
"Cổ tức trả cho cổ đông, lợi nhuận đã chia","LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Cổ tức trả cho cổ đông, lợi nhuận đã chia","Cổ tức trả cho cổ đông, lợi nhuận đã chia",,(4.246.000),(7.733.380),,-4246000.0,-7733380.0
Lưu chuyển tiền sử dụng vào hoạt động tài chính,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền sử dụng vào hoạt động tài chính,Lưu chuyển tiền sử dụng vào hoạt động tài chính,,(4.246.000),(7.733.380),,-4246000.0,-7733380.0
Lưu chuyển tiền thuần trong năm,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần trong năm,Lưu chuyển tiền thuần trong năm,,17.603.939.454.801,(3.252.708.503.754),,17603939454801.0,-3252708503754.0
Tiền và các khoản tương đương tiền đầu năm,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và các khoản tương đương tiền đầu năm,Tiền và các khoản tương đương tiền đầu năm,36,22.445.074.093.131,25.697.782.596.885,36.0,22445074093131.0,25697782596885.0
Tiền và các khoản tương đương tiền cuối năm,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và các khoản tương đương tiền cuối năm,Tiền và các khoản tương đương tiền cuối năm,36,40.049.013.547.932,22.445.074.093.131,36.0,40049013547932.0,22445074093131.0
