row_label_raw,row_label_full,col_0,Năm nay VND,Năm trước VND,numeric__Năm nay VND,numeric__Năm trước VND
Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,997.491.617.180,1.124.566.731.130,997491617180.0,1124566731130.0
Dịch vụ tư vấn,Dịch vụ tư vấn,Dịch vụ tư vấn,241.040.004.995,173.159.179.344,241040004995.0,173159179344.0
Dịch vụ thanh toán,Dịch vụ thanh toán,Dịch vụ thanh toán,59.218.339.068,70.002.670.772,59218339068.0,70002670772.0
Dịch vụ đại lý bảo hiểm và phí liên kết bảo hiểm,Dịch vụ đại lý bảo hiểm và phí liên kết bảo hiểm,Dịch vụ đại lý bảo hiểm và phí liên kết bảo hiểm,197.182.841.756,432.510.995.595,197182841756.0,432510995595.0
Dịch vụ bảo quản tài sản,Dịch vụ bảo quản tài sản,Dịch vụ bảo quản tài sản,7.704.020.910,15.993.194.646,7704020910.0,15993194646.0
Dịch vụ ngân quỹ,Dịch vụ ngân quỹ,Dịch vụ ngân quỹ,1.672.052.424,4.173.112.120,1672052424.0,4173112120.0
Dịch vụ khác,Dịch vụ khác,Dịch vụ khác,490.674.358.027,428.727.578.653,490674358027.0,428727578653.0
Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,(115.337.751.825),(110.260.212.678),-115337751825.0,-110260212678.0
Dịch vụ thanh toán,Dịch vụ thanh toán,Dịch vụ thanh toán,(12.249.429.560),(11.125.064.090),-12249429560.0,-11125064090.0
Chi về dịch vụ tư vấn,Chi về dịch vụ tư vấn,Chi về dịch vụ tư vấn,(5.908.081.000),(4.087.500.000),-5908081000.0,-4087500000.0
Chi phí hoa hồng mới giới,Chi phí hoa hồng mới giới,Chi phí hoa hồng mới giới,(3.124.292.713),(24.357.686.364),-3124292713.0,-24357686364.0
Dịch vụ ngân quỹ,Dịch vụ ngân quỹ,Dịch vụ ngân quỹ,(997.012.664),(2.314.195.505),-997012664.0,-2314195505.0
Chi phí bưu điện về mạng viễn thông,Chi phí bưu điện về mạng viễn thông,Chi phí bưu điện về mạng viễn thông,(924.118.037),(937.931.202),-924118037.0,-937931202.0
Dịch vụ khác,Dịch vụ khác,Dịch vụ khác,(92.134.817.851),(67.437.835.517),-92134817851.0,-67437835517.0
Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,882.153.865.355,1.014.306.518.452,882153865355.0,1014306518452.0
