row_label_raw,row_label_full,col_0,Quá hạnVND,Không nhạy cảm với lãi suấtVND,Đến 1 thángVND,Từ 1 - 3 thángVND,Từ 3 - 6 thángVND,Từ 6 - 12 thángVND,Từ 1 - 5 nămVND,Trên 5nămVND,Tổng cộngVND,numeric__Quá hạnVND,numeric__Không nhạy cảm với lãi suấtVND,numeric__Đến 1 thángVND,numeric__Từ 1 - 3 thángVND,numeric__Từ 3 - 6 thángVND,numeric__Từ 6 - 12 thángVND,numeric__Từ 1 - 5 nămVND,numeric__Trên 5nămVND,numeric__Tổng cộngVND
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,779.733.563.086,-,-,-,-,-,-,779.733.563.086,,779733563086.0,,,,,,,779733563086.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,6.965.365.039.785,-,-,-,-,-,-,6.965.365.039.785,,6965365039785.0,,,,,,,6965365039785.0
Tiền gửi tại và cho vay các TCTD khác,Tài sản > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,-,1.607.194.945.061,26.132.420.329.808,5.628.619.067.385,387.663.518.256,34.591.619.000,109.727.000.000,-,33.900.216.479.510,,1607194945061.0,26132420329808.0,5628619067385.0,387663518256.0,34591619000.0,109727000000.0,,33900216479510.0
Các công cụ tài chínhphái sinh,Tài sản > Các công cụ tài chínhphái sinh,Các công cụ tài chínhphái sinh,-,41.473.565.365,-,-,-,-,-,-,41.473.565.365,,41473565365.0,,,,,,,41473565365.0
Cho vay khách hàng vàmua nợ - gộp,Tài sản > Cho vay khách hàng vàmua nợ - gộp,Cho vay khách hàng vàmua nợ - gộp,7.381.706.130.213,-,24.901.368.032.882,49.860.716.794.404,48.812.590.031.467,12.281.092.538.804,4.519.892.687.801,-,147.757.366.215.571,7381706130213.0,,24901368032882.0,49860716794404.0,48812590031467.0,12281092538804.0,4519892687801.0,,147757366215571.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,-,2.367.881.120.516,-,3.450.000.000.000,4.534.400.000.000,14.669.600.000.000,1.120.916.600.000,14.188.600.000.000,40.331.397.720.516,,2367881120516.0,,3450000000000.0,4534400000000.0,14669600000000.0,1120916600000.0,14188600000000.0,40331397720516.0
"Góp vốn, đầu tư dài hạn","Tài sản > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",-,25.000.000.000,-,-,-,-,-,-,25.000.000.000,,25000000000.0,,,,,,,25000000000.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,553.659.164.650,-,-,-,-,-,-,553.659.164.650,,553659164650.0,,,,,,,553659164650.0
Tài sản Có khác - gộp,Tài sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,4.800.000.000,12.329.766.954.638,-,-,-,-,-,-,12.334.566.954.638,4800000000.0,12329766954638.0,,,,,,,12334566954638.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,7.386.506.130.213,24.670.074.353.101,51.033.788.362.690,58.939.335.861.789,53.734.653.549.723,26.985.284.157.804,5.750.536.287.801,14.188.600.000.000,242.688.778.703.121,7386506130213.0,24670074353101.0,51033788362690.0,58939335861789.0,53734653549723.0,26985284157804.0,5750536287801.0,14188600000000.0,242688778703121.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Các khoản nợ Chính phủ vàNHNN,Nợ phải trả > Các khoản nợ Chính phủ vàNHNN,Các khoản nợ Chính phủ vàNHNN,-,-,-,-,-,94.394.453.562,-,-,94.394.453.562,,,,,,94394453562.0,,,94394453562.0
Tiền gửi và vay từ TCTD khác,Nợ phải trả > Tiền gửi và vay từ TCTD khác,Tiền gửi và vay từ TCTD khác,-,-,28.094.766.607.720,2.528.020.778.861,193.538.011.800,124.812.562.389,98.727.234.997,-,31.039.865.195.767,,,28094766607720.0,2528020778861.0,193538011800.0,124812562389.0,98727234997.0,,31039865195767.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,45.793.796.084.241,34.198.219.980.560,29.374.425.118.125,13.117.130.228.585,3.484.841.866.398,74.198.720,125.968.487.476.629,,,45793796084241.0,34198219980560.0,29374425118125.0,13117130228585.0,3484841866398.0,74198720.0,125968487476629.0
"Vốn tải trợ, ủy thác đầu tư, chovay tổ chức tin dụng chịu rủi ro","Nợ phải trả > Vốn tải trợ, ủy thác đầu tư, chovay tổ chức tin dụng chịu rủi ro","Vốn tải trợ, ủy thác đầu tư, chovay tổ chức tin dụng chịu rủi ro",-,-,-,1.673.701.778,1.692.896.500,487.097.252.500,3.867.731.403.035,-,4.358.195.253.813,,,,1673701778.0,1692896500.0,487097252500.0,3867731403035.0,,4358195253813.0
Phát hành giấy tờ có giả,Nợ phải trả > Phát hành giấy tờ có giả,Phát hành giấy tờ có giả,-,-,2.030.000.000.000,3.400.000.000.000,780.000.000.000,-,31.598.325.000.000,-,37.808.325.000.000,,,2030000000000.0,3400000000000.0,780000000000.0,,31598325000000.0,,37808325000000.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,12.334.188.454.002,-,-,-,-,-,-,12.334.188.454.002,,12334188454002.0,,,,,,,12334188454002.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,12.334.188.454.002,75.918.562.691.961,40.127.914.461.199,30.349.656.026.425,13.823.434.497.036,39.049.625.504.430,74.198.720,211.603.455.833.773,,12334188454002.0,75918562691961.0,40127914461199.0,30349656026425.0,13823434497036.0,39049625504430.0,74198720.0,211603455833773.0
Mức chênh nhạy cảm với lãi suất,Nợ phải trả > Mức chênh nhạy cảm với lãi suất,Mức chênh nhạy cảm với lãi suất,7.386.506.130.213,12.335.885.899.099,(24.884.774.329.271),18.811.421.400.590,23.384.997.523.298,13.161.849.660.768,(33.299.089.216.629),14.188.525.801.280,31.085.322.869.348,7386506130213.0,12335885899099.0,-24884774329271.0,18811421400590.0,23384997523298.0,13161849660768.0,-33299089216629.0,14188525801280.0,31085322869348.0
