row_label_raw,row_label_full,col_0,Trong nước VND,Nước ngoài VND,Tổng cộng VND,numeric__Trong nước VND,numeric__Nước ngoài VND,numeric__Tổng cộng VND
Tài sản vào ngày 31 tháng 12 năm 2023,Tài sản vào ngày 31 tháng 12 năm 2023,Tài sản vào ngày 31 tháng 12 năm 2023,Tài sản vào ngày 31 tháng 12 năm 2023,Tài sản vào ngày 31 tháng 12 năm 2023,Tài sản vào ngày 31 tháng 12 năm 2023,,,
Tiền gửi tại và cho vay các TCTD khác,Tài sản vào ngày 31 tháng 12 năm 2023 > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,32.467.995.596.853,1.432.220.882.657,33.900.216.479.510,32467995596853.0,1432220882657.0,33900216479510.0
Các công cụ tài chính phái sinh (tổng giá trị giao dịch theo hợp đồng),Tài sản vào ngày 31 tháng 12 năm 2023 > Các công cụ tài chính phái sinh (tổng giá trị giao dịch theo hợp đồng),Các công cụ tài chính phái sinh (tổng giá trị giao dịch theo hợp đồng),76.168.117.883.056,-,76.168.117.883.056,76168117883056.0,,76168117883056.0
Cho vay khách hàng - gộp,Tài sản vào ngày 31 tháng 12 năm 2023 > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,147.206.466.215.571,-,147.206.466.215.571,147206466215571.0,,147206466215571.0
Hoạt động mua nợ - gộp,Tài sản vào ngày 31 tháng 12 năm 2023 > Hoạt động mua nợ - gộp,Hoạt động mua nợ - gộp,550.900.000.000,-,550.900.000.000,550900000000.0,,550900000000.0
Chứng khoán đầu tư - gộp,Tài sản vào ngày 31 tháng 12 năm 2023 > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,40.331.397.720.516,-,40.331.397.720.516,40331397720516.0,,40331397720516.0
"Góp vốn, đầu tư dài hạn","Tài sản vào ngày 31 tháng 12 năm 2023 > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",25.000.000.000,-,25.000.000.000,25000000000.0,,25000000000.0
Công nợ vào ngày 31 tháng 12 năm 2023,Công nợ vào ngày 31 tháng 12 năm 2023,Công nợ vào ngày 31 tháng 12 năm 2023,Công nợ vào ngày 31 tháng 12 năm 2023,Công nợ vào ngày 31 tháng 12 năm 2023,Công nợ vào ngày 31 tháng 12 năm 2023,,,
Tiền gửi và vay các TCTD khác,Công nợ vào ngày 31 tháng 12 năm 2023 > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,30.969.894.761.280,69.970.434.487,31.039.865.195.767,30969894761280.0,69970434487.0,31039865195767.0
Tiền gửi của khách hàng,Công nợ vào ngày 31 tháng 12 năm 2023 > Tiền gửi của khách hàng,Tiền gửi của khách hàng,124.310.062.656.422,1.658.424.820.207,125.968.487.476.629,124310062656422.0,1658424820207.0,125968487476629.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Công nợ vào ngày 31 tháng 12 năm 2023 > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",112.957.753.813,4.245.237.500.000,4.358.195.253.813,112957753813.0,4245237500000.0,4358195253813.0
Phát hành giấy tờ có giá,Công nợ vào ngày 31 tháng 12 năm 2023 > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,37.808.325.000.000,-,37.808.325.000.000,37808325000000.0,,37808325000000.0
Cam kết tín dụng vào ngày 31 tháng 12 năm 2023 - gộp,Công nợ vào ngày 31 tháng 12 năm 2023 > Cam kết tín dụng vào ngày 31 tháng 12 năm 2023 - gộp,Cam kết tín dụng vào ngày 31 tháng 12 năm 2023 - gộp,8.122.416.584.845,-,8.122.416.584.845,8122416584845.0,,8122416584845.0
