row_label_raw,row_label_full,Hoàng Việt Anh,Chủ tịch (*),-,-_1,numeric__Chủ tịch (*),numeric__-,numeric__-_1
Hoàng Nam Tiến,Hoàng Nam Tiến,Hoàng Nam Tiến,Chủ tịch,-,-,,,
Trương Gia Bình,Trương Gia Bình,Trương Gia Bình,Thành viên,-,-,,,
Nguyễn Văn Khoa,Nguyễn Văn Khoa,Nguyễn Văn Khoa,Thành viên,-,-,,,
Chu Thị Thanh Hà,Chu Thị Thanh Hà,Chu Thị Thanh Hà,Thành viên,-,-,,,
Trần Thị Hồng Lĩnh,Chu Thị Thanh Hà > Trần Thị Hồng Lĩnh,Trần Thị Hồng Lĩnh,Thành viên (**),41.260.274,-,,41260274.0,
Phan Thế Thành,Chu Thị Thanh Hà > Phan Thế Thành,Phan Thế Thành,Thành viên (**),41.260.274,-,,41260274.0,
Lê Ngọc Diệp,Chu Thị Thanh Hà > Lê Ngọc Diệp,Lê Ngọc Diệp,Thành viên,18.739.726,60.000.000,,18739726.0,60000000.0
Nguyễn Hoàng Quyền,Chu Thị Thanh Hà > Nguyễn Hoàng Quyền,Nguyễn Hoàng Quyền,Thành viên (***),18.739.726,50.714.286,,18739726.0,50714286.0
Phạm Công Minh,Chu Thị Thanh Hà > Phạm Công Minh,Phạm Công Minh,Thành viên,-,9.285.714,,,9285714.0
,,,,120.000.000,120.000.000,,120000000.0,120000000.0
