row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND","Máy móc,thiết bịVND",Thiết bịquản lýVND,Phương tiệnvận tàiVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc,thiết bịVND",numeric__Thiết bịquản lýVND,numeric__Phương tiệnvận tàiVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Tại ngày 1 tháng 1 năm 2023,Nguyên giá > Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,212.375.019.192,10.779.336.569.563,195.223.328.920,19.216.714.362,11.206.151.632.037,212375019192.0,10779336569563.0,195223328920.0,19216714362.0,11206151632037.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,1.842.506.089,617.722.806.622,4.743.457.924,2.518.522.727,626.827.293.362,1842506089.0,617722806622.0,4743457924.0,2518522727.0,626827293362.0
Chuyển sang từ chi phí xây dựngcơ bản đồ dang,Nguyên giá > Chuyển sang từ chi phí xây dựngcơ bản đồ dang,Chuyển sang từ chi phí xây dựngcơ bản đồ dang,-,1.118.417.199.839,73.722.500,-,1.118.490.922.339,,1118417199839.0,73722500.0,,1118490922339.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,2.438.539.196,57.688.405.819,(53.096.190.634),(5.964.830.548),1.065.923.833,2438539196.0,57688405819.0,-53096190634.0,-5964830548.0,1065923833.0
"Thanh lý, xóa sổ","Nguyên giá > Thanh lý, xóa sổ","Thanh lý, xóa sổ",-,(270.370.167.219),(7.115.795.267),(1.353.636.364),(278.839.598.850),,-270370167219.0,-7115795267.0,-1353636364.0,-278839598850.0
Tại ngày 31 tháng 12 năm 2023,Nguyên giá > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,216.656.064.477,12.302.794.814.624,139.828.523.443,14.416.770.177,12.673.696.172.721,216656064477.0,12302794814624.0,139828523443.0,14416770177.0,12673696172721.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,
Tại ngày 1 tháng 1 năm 2023,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,(74.563.131.948),(5.947.260.867.835),(176.169.030.273),(13.598.388.402),(6.211.591.418.458),-74563131948.0,-5947260867835.0,-176169030273.0,-13598388402.0,-6211591418458.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,(8.012.153.854),(1.227.687.009.607),(7.205.403.250),(1.919.492.911),(1.244.824.059.622),-8012153854.0,-1227687009607.0,-7205403250.0,-1919492911.0,-1244824059622.0
Phân loại lại,Giá trị khấu hao lũy kế > Phân loại lại,Phân loại lại,(1.376.115.363),(57.688.405.819),53.096.190.634,5.964.830.548,(3.500.000),-1376115363.0,-57688405819.0,53096190634.0,5964830548.0,-3500000.0
"Thanh lý, xóa sổ","Giá trị khấu hao lũy kế > Thanh lý, xóa sổ","Thanh lý, xóa sổ",-,238.327.817.534,7.114.181.841,1.353.636.364,246.795.635.739,,238327817534.0,7114181841.0,1353636364.0,246795635739.0
Tại ngày 31 tháng 12 năm 2023,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,(83.951.401.165),(6.994.308.465.727),(123.164.061.048),(8.199.414.401),(7.209.623.342.341),-83951401165.0,-6994308465727.0,-123164061048.0,-8199414401.0,-7209623342341.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày 1 tháng 1 năm 2023,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,137.811.887.244,4.832.075.701.728,19.054.298.647,5.618.325.960,4.994.560.213.579,137811887244.0,4832075701728.0,19054298647.0,5618325960.0,4994560213579.0
Tại ngày 31 tháng 12 năm 2023,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,132.704.663.312,5.308.486.348.897,16.664.462.395,6.217.355.776,5.464.072.830.380,132704663312.0,5308486348897.0,16664462395.0,6217355776.0,5464072830380.0
