row_label_raw,row_label_full,col_0,Tại ngày1.1.2023VND,Số phải nộptrong kỳVND,Số đã nộp/cấn trừ trong nằmVND,Tại ngày31.12.2023VND,numeric__Tại ngày1.1.2023VND,numeric__Số phải nộptrong kỳVND,numeric__Số đã nộp/cấn trừ trong nằmVND,numeric__Tại ngày31.12.2023VND
Thuế GTGT đầu ra,Thuế GTGT đầu ra,Thuế GTGT đầu ra,(29.684.786.994),2.260.670.311.589,(2.175.552.674.912),55.432.849.683,-29684786994.0,2260670311589.0,-2175552674912.0,55432849683.0
Thuế GTGT đầu ra hàng nhập khẩu,Thuế GTGT đầu ra hàng nhập khẩu,Thuế GTGT đầu ra hàng nhập khẩu,-,127.371.274.023,(127.371.274.023),-,,127371274023.0,-127371274023.0,
Thuế TNDN,Thuế TNDN,Thuế TNDN,(57.288.195.681),629.086.803.768,(410.383.498.628),161.415.109.459,-57288195681.0,629086803768.0,-410383498628.0,161415109459.0
Thuế nhà thầu,Thuế nhà thầu,Thuế nhà thầu,(160.290.725),59.901.172.980,(55.302.656.748),4.438.225.507,-160290725.0,59901172980.0,-55302656748.0,4438225507.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,(32.268.254.163),270.717.349.139,(208.825.797.913),29.623.297.063,-32268254163.0,270717349139.0,-208825797913.0,29623297063.0
"Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",-,101.407.471,(101.407.471),-,,101407471.0,-101407471.0,
Thuế khác,Thuế khác,Thuế khác,-,819.492.915,(819.492.915),-,,819492915.0,-819492915.0,
,,,(119.401.527.563),3.348.667.811.885,(2.978.356.802.610),250.909.481.712,-119401527563.0,3348667811885.0,-2978356802610.0,250909481712.0
