row_label_raw,row_label_full,col_0,31.12.2023VND,31.12.2022VND,numeric__31.12.2023VND,numeric__31.12.2022VND
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,
Thuế GTGT,Phải thu > Thuế GTGT,Thuế GTGT,-,47.871.244.756,,47871244756.0
Thuế TNDN,Phải thu > Thuế TNDN,Thuế TNDN,279.451.247,72.166.759.453,279451247.0,72166759453.0
Thuế thu nhập cá nhân,Phải thu > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,91.130.172,37.965.676.266,91130172.0,37965676266.0
Thuế nhà thầu,Phải thu > Thuế nhà thầu,Thuế nhà thầu,-,2.365.985.307,,2365985307.0
,,,370.581.419,160.369.665.782,370581419.0,160369665782.0
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,
Thuế GTGT,Phải nộp > Thuế GTGT,Thuế GTGT,55.432.849.683,18.186.457.762,55432849683.0,18186457762.0
Thuế TNDN,Phải nộp > Thuế TNDN,Thuế TNDN,161.694.560.706,14.878.563.772,161694560706.0,14878563772.0
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,29.714.427.235,5.697.422.103,29714427235.0,5697422103.0
Thuế nhà thầu,Phải nộp > Thuế nhà thầu,Thuế nhà thầu,4.438.225.507,2.205.694.582,4438225507.0,2205694582.0
,,,251.280.063.131,40.968.138.219,251280063131.0,40968138219.0
