row_label_raw,row_label_full,Ngoại tệ,31.12.2023,31.12.2023_1,31.12.2022,31.12.2022_1,numeric__31.12.2023,numeric__31.12.2023_1,numeric__31.12.2022,numeric__31.12.2022_1
Ngoại tệ,Ngoại tệ,Ngoại tệ,Số dư ngoại tệ,Số dư ngoại tệ đã được hedging,Số dư ngoại tệ,Số dư ngoại tệ đã được hedging,,,,
Đô la Mỹ (“USD”),Ngoại tệ > Đô la Mỹ (“USD”),Đô la Mỹ (“USD”),57.900.000,57.900.000,73.400.000,73.400.000,57900000.0,57900000.0,73400000.0,73400000.0
