row_label_raw,row_label_full,col_0,2023VND,2022VND,numeric__2023VND,numeric__2022VND
Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,3.042.058.174.715,2.817.596.666.776,3042058174715.0,2817596666776.0
Thuế tính ở thuế suất 20%Điều chỉnh:,Thuế tính ở thuế suất 20%Điều chỉnh:,Thuế tính ở thuế suất 20%Điều chỉnh:,608.411.634.943,563.519.333.355,608411634943.0,563519333355.0
Thu nhập không chịu thuế,Thu nhập không chịu thuế,Thu nhập không chịu thuế,(701.458.515),(2.580.683.619),-701458515.0,-2580683619.0
Chi phí không được khấu trừ,Chi phí không được khấu trừ,Chi phí không được khấu trừ,98.493.053,538.671.325,98493053.0,538671325.0
Chênh lệch tạm thời mà không đượcghi nhận thuế TNDN hoãn lại,Chênh lệch tạm thời mà không đượcghi nhận thuế TNDN hoãn lại,Chênh lệch tạm thời mà không đượcghi nhận thuế TNDN hoãn lại,(751.093.867),411.000,-751093867.0,411000.0
Ảnh hưởng của bút toán hợp nhất,Ảnh hưởng của bút toán hợp nhất,Ảnh hưởng của bút toán hợp nhất,-,(4.244.977.737),,-4244977737.0
Dự phòng thiếu của năm trước,Dự phòng thiếu của năm trước,Dự phòng thiếu của năm trước,761.607.150,2.018.244.697,761607150.0,2018244697.0
Khác,Khác,Khác,724.346.585,-,724346585.0,
Chi phí thuế TNDN (*),Chi phí thuế TNDN (*),Chi phí thuế TNDN (*),608.543.529.349,559.250.999.021,608543529349.0,559250999021.0
(Thu nhập)/chi phí thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh hợp nhất:,(Thu nhập)/chi phí thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh hợp nhất:,(Thu nhập)/chi phí thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh hợp nhất:,(Thu nhập)/chi phí thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh hợp nhất:,(Thu nhập)/chi phí thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh hợp nhất:,,
Thuế TNDN - hiện hành,(Thu nhập)/chi phí thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh hợp nhất: > Thuế TNDN - hiện hành,Thuế TNDN - hiện hành,629.086.803.768,553.870.253.638,629086803768.0,553870253638.0
Thuế TNDN - hoãn lại,(Thu nhập)/chi phí thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh hợp nhất: > Thuế TNDN - hoãn lại,Thuế TNDN - hoãn lại,(20.543.274.419),5.380.745.383,-20543274419.0,5380745383.0
Chi phí thuế TNDN (*),(Thu nhập)/chi phí thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh hợp nhất: > Chi phí thuế TNDN (*),Chi phí thuế TNDN (*),608.543.529.349,559.250.999.021,608543529349.0,559250999021.0
