row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,"Bản quyền, bằng sáng chế VND",Giấy phép bản quyền và quyền khai thác VND,Phần mềm vi tính VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,"numeric__Bản quyền, bằng sáng chế VND",numeric__Giấy phép bản quyền và quyền khai thác VND,numeric__Phần mềm vi tính VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Tại ngày 1 tháng 1 năm 2023,Nguyên giá > Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,163.558.151.413,-,753.927.547.130,183.281.220.036,1.100.766.918.579,163558151413.0,,753927547130.0,183281220036.0,1100766918579.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,24.148.193.868,476.000.000,2.435.072.107,6.380.370.205,"33,439,636,180",24148193868.0,476000000.0,2435072107.0,6380370205.0,
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,(1.062.423.833),-,-,(3.500.000),(1.065.923.833),-1062423833.0,,,-3500000.0,-1065923833.0
"Thanh lý, xóa sổ","Nguyên giá > Thanh lý, xóa sổ","Thanh lý, xóa sổ",-,-,-,(533.706.919),(533.706.919),,,,-533706919.0,-533706919.0
Tại ngày 31 tháng 12 năm 2023,Nguyên giá > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,186.643.921.448,476.000.000,756.362.619.237,189.124.383.322,1.132.606.924.007,186643921448.0,476000000.0,756362619237.0,189124383322.0,1132606924007.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,
Tại ngày 1 tháng 1 năm 2023,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,-,-,(376.593.920.234),(108.363.390.121),(484.957.310.355),,,-376593920234.0,-108363390121.0,-484957310355.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,(40.427.397),(53.652.355.585),(34.798.186.172),(88.490.969.154),,-40427397.0,-53652355585.0,-34798186172.0,-88490969154.0
Phân loại lại,Giá trị khấu hao lũy kế > Phân loại lại,Phân loại lại,-,-,-,3.500.000,3.500.000,,,,3500000.0,3500000.0
"Thanh lý, xóa sổ","Giá trị khấu hao lũy kế > Thanh lý, xóa sổ","Thanh lý, xóa sổ",-,-,-,237.119.152,237.119.152,,,,237119152.0,237119152.0
Tại ngày 31 tháng 12 năm 2023,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,-,(40.427.397),(430.246.275.819),(142.920.957.141),(573.207.660.357),,-40427397.0,-430246275819.0,-142920957141.0,-573207660357.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày 1 tháng 1 năm 2023,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,163.558.151.413,-,377.333.626.896,74.917.829.915,615.809.608.224,163558151413.0,,377333626896.0,74917829915.0,615809608224.0
Tại ngày 31 tháng 12 năm 2023,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,186.643.921.448,435.572.603,326.116.343.418,46.203.426.181,559.399.263.650,186643921448.0,435572603.0,326116343418.0,46203426181.0,559399263650.0
