row_label_raw,row_label_full,Công ty con,Lĩnh vực kinh doanh,Ti lệ sở hữu,numeric__Lĩnh vực kinh doanh,numeric__Ti lệ sở hữu
Công ty TNHH Kiều Hối Bắc Á,Công ty TNHH Kiều Hối Bắc Á,Công ty TNHH Kiều Hối Bắc Á,"Cung ứng dịch vụ nhận và chi, trả ngoại tệ","100,00%",,1.0
Công ty TNHH Một thành viên Quản lý Nợ và Khai thác Tài sản - Ngân hàng TMCP Bắc Á (AMC),Công ty TNHH Một thành viên Quản lý Nợ và Khai thác Tài sản - Ngân hàng TMCP Bắc Á (AMC),Công ty TNHH Một thành viên Quản lý Nợ và Khai thác Tài sản - Ngân hàng TMCP Bắc Á (AMC),Quản lý nợ và khai thác tài sản bảo đảm nợ vay,"100,00%",,1.0
