row_label_raw,row_label_full,col_0,Quá hạn,Không bị ảnh hưởng do định lại lãi suất,Thay đổi lãi suất trong khoảng thời gian,Thay đổi lãi suất trong khoảng thời gian_1,Thay đổi lãi suất trong khoảng thời gian_2,Thay đổi lãi suất trong khoảng thời gian_3,Thay đổi lãi suất trong khoảng thời gian_4,Thay đổi lãi suất trong khoảng thời gian_5,Tổng,numeric__Quá hạn,numeric__Không bị ảnh hưởng do định lại lãi suất,numeric__Thay đổi lãi suất trong khoảng thời gian,numeric__Thay đổi lãi suất trong khoảng thời gian_1,numeric__Thay đổi lãi suất trong khoảng thời gian_2,numeric__Thay đổi lãi suất trong khoảng thời gian_3,numeric__Thay đổi lãi suất trong khoảng thời gian_4,numeric__Thay đổi lãi suất trong khoảng thời gian_5,numeric__Tổng
,,,Quá hạn,Không bị ảnh hưởng do định lại lãi suất,Dưới 01 tháng,Từ 01 đến 03 tháng,Từ trên 03 đến 06 tháng,Từ trên 06 đến 12 tháng,Từ trên 01 đến 05 năm,Trên 05 năm,Tổng,,,,,,,,,
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,,,,,,
I,TÀI SẢN > I,I,"Tiền mặt, vàng bạc, đá quý",-,616.434,-,-,-,-,-,616.434,,,616434.0,,,,,,616434.0
II,TÀI SẢN > II,II,Tiền gửi tại NHNN,-,-,887.264,-,-,-,-,887.264,,,,887264.0,,,,,887264.0
III,TÀI SẢN > III,III,Tiền gửi và cho vay các TCTD khác (*),-,-,13.602.238,-,1.060.898,699.364,-,15.362.500,,,,13602238.0,,1060898.0,699364.0,,15362500.0
IV,TÀI SẢN > IV,IV,Chứng khoán kinh doanh (*),-,-,-,-,-,7.000.000,13.992.851,20.992.851,,,,,,,7000000.0,13992851.0,20992851.0
VI,TÀI SẢN > VI,VI,Cho vay khách hàng (*),1.851.314,-,9.510.461,9.034.938,14.741.215,12.414.378,14.446.715,37.854.954,,1851314.0,,9510461.0,9034938.0,14741215.0,12414378.0,14446715.0,37854954.0
VIII,TÀI SẢN > VIII,VIII,Chứng khoán đầu tư (*),-,136.500,-,-,-,-,3.417.325,7.016.494,,,136500.0,,,,,3417325.0,7016494.0
IX,TÀI SẢN > IX,IX,"Góp vốn, đầu tư dài hạn (*)",-,289.845,-,-,-,-,-,289.845,,,289845.0,,,,,,289845.0
X,TÀI SẢN > X,X,Tài sản cố định,-,1.052.126,-,-,-,-,-,1.052.126,,,1052126.0,,,,,,1052126.0
XII,TÀI SẢN > XII,XII,Tài sản có khác (*),-,3.979.938,-,-,-,-,-,3.979.938,,,3979938.0,,,,,,3979938.0
Tổng tài sản,TÀI SẢN > Tổng tài sản,Tổng tài sản,Tổng tài sản,1.851.314,6.074.843,23.999.963,9.034.938,15.802.113,20.113.742,31.856.891,44.871.448,,1851314.0,6074843.0,23999963.0,9034938.0,15802113.0,20113742.0,31856891.0,44871448.0
