row_label_raw,row_label_full,col_0,EURđược quyđổi,USDđược quyđổi,Các ngoạihối khácđược quyđổi và đồngViệt Nam,Tổng,numeric__EURđược quyđổi,numeric__USDđược quyđổi,numeric__Các ngoạihối khácđược quyđổi và đồngViệt Nam,numeric__Tổng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,
"I. Tiền mặt, vàng bạc, đá quý","TÀI SẢN > I. Tiền mặt, vàng bạc, đá quý","I. Tiền mặt, vàng bạc, đá quý",8.038,35.457,-,43.495,8038.0,35457.0,,43495.0
II. Tiền gửi tại NHNN,TÀI SẢN > II. Tiền gửi tại NHNN,II. Tiền gửi tại NHNN,-,19.835,-,19.835,,19835.0,,19835.0
III. Tiền gửi và cho vay các TCTD khác (*),TÀI SẢN > III. Tiền gửi và cho vay các TCTD khác (*),III. Tiền gửi và cho vay các TCTD khác (*),2.836,1.110.240,1.304.425,2.417.501,2836.0,1110240.0,1304425.0,2417501.0
V. Các công cụ tài chính phải sinh và các tài sản tài chính khác,TÀI SẢN > V. Các công cụ tài chính phải sinh và các tài sản tài chính khác,V. Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,-,246.750,246.750,,,246750.0,246750.0
VI. Cho vay khách hàng (*),TÀI SẢN > VI. Cho vay khách hàng (*),VI. Cho vay khách hàng (*),-,73.921,-,73.921,,73921.0,,73921.0
XI. Tài sản có khác (*),TÀI SẢN > XI. Tài sản có khác (*),XI. Tài sản có khác (*),-,12.574,1.133,13.707,,12574.0,1133.0,13707.0
Tổng tài sản,TÀI SẢN > Tổng tài sản,Tổng tài sản,10.874,1.252.027,1.552.308,2.815.209,10874.0,1252027.0,1552308.0,2815209.0
NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,
II. Tiền gửi và vay các TCTD khác,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU > II. Tiền gửi và vay các TCTD khác,II. Tiền gửi và vay các TCTD khác,-,242.250,-,242.250,,242250.0,,242250.0
III. Tiền gửi của khách hàng,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU > III. Tiền gửi của khách hàng,III. Tiền gửi của khách hàng,6.247,92.992,15,99.254,6247.0,92992.0,15.0,99254.0
IV. Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU > IV. Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,IV. Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,6.942.545,1.189.035,8.131.580,,6942545.0,1189035.0,8131580.0
VII. Các khoản nợ khác,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU > VII. Các khoản nợ khác,VII. Các khoản nợ khác,61,574,1.641,2.276,61.0,574.0,1641.0,2276.0
Tổng nợ phải trả và vốn chủ sở hữu,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU > Tổng nợ phải trả và vốn chủ sở hữu,Tổng nợ phải trả và vốn chủ sở hữu,6.308,7.278.361,1.190.691,8.475.360,6308.0,7278361.0,1190691.0,8475360.0
Trạng thái tiền tệ nội bằng,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU > Trạng thái tiền tệ nội bằng,Trạng thái tiền tệ nội bằng,4.566,(6.026.334),361.617,(5.660.151),4566.0,-6026334.0,361617.0,-5660151.0
Trạng thái tiền tệ ngoại bằng,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU > Trạng thái tiền tệ ngoại bằng,Trạng thái tiền tệ ngoại bằng,-,3.501.750,(23.941),3.477.809,,3501750.0,-23941.0,3477809.0
Trạng thái tiền tệ nội ngoại bằng,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU > Trạng thái tiền tệ nội ngoại bằng,Trạng thái tiền tệ nội ngoại bằng,4.566,(2.524.584),337.676,(2.182.342),4566.0,-2524584.0,337676.0,-2182342.0
