row_label_raw,row_label_full,col_0,Quá hạn,Không bị ảnh hưởng do định lại lãi suất,Thay đổi lãi suất trong khoảng thời gian,Thay đổi lãi suất trong khoảng thời gian_1,Thay đổi lãi suất trong khoảng thời gian_2,Thay đổi lãi suất trong khoảng thời gian_3,Thay đổi lãi suất trong khoảng thời gian_4,Thay đổi lãi suất trong khoảng thời gian_5,Tổng,numeric__Quá hạn,numeric__Không bị ảnh hưởng do định lại lãi suất,numeric__Thay đổi lãi suất trong khoảng thời gian,numeric__Thay đổi lãi suất trong khoảng thời gian_1,numeric__Thay đổi lãi suất trong khoảng thời gian_2,numeric__Thay đổi lãi suất trong khoảng thời gian_3,numeric__Thay đổi lãi suất trong khoảng thời gian_4,numeric__Thay đổi lãi suất trong khoảng thời gian_5,numeric__Tổng
,,,Quá hạn,Không bị ảnh hưởng do định lại lãi suất,Dưới 01 tháng,Từ 01 đến 03 tháng,Từ trên 03 đến 06 tháng,Từ trên 06 đến 12 tháng,Từ trên 01 đến 05 năm,Trên 05 năm,Tổng,,,,,,,,,
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,,,,,,,,,
I Các khoản nợ chính phủ và NHNN,NỘ PHẢI TRẢ > I Các khoản nợ chính phủ và NHNN,I Các khoản nợ chính phủ và NHNN,-,-,-,-,-,-,-,24.116,24.116,,,,,,,,24116.0,24116.0
II Tiền gửi và vay các TCTD khác,NỘ PHẢI TRẢ > II Tiền gửi và vay các TCTD khác,II Tiền gửi và vay các TCTD khác,-,-,11.134.603,24.150,-,-,-,-,11.158.753,,,11134603.0,24150.0,,,,,11158753.0
III Tiền gửi của khách hàng,NỘ PHẢI TRẢ > III Tiền gửi của khách hàng,III Tiền gửi của khách hàng,-,211.480,11.770.579,7.462.094,12.456.596,19.479.744,25.731.768,41.521.987,118.634.248,,211480.0,11770579.0,7462094.0,12456596.0,19479744.0,25731768.0,41521987.0,118634248.0
IV Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,NỘ PHẢI TRẢ > IV Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,IV Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,-,97.173,-,-,-,-,-,97.173,,,97173.0,,,,,,97173.0
"V Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","NỘ PHẢI TRẢ > V Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","V Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,-,-,-,-,9.807,-,9.807,,,,,,,9807.0,,9807.0
VI Phát hành giấy tờ có giá,NỘ PHẢI TRẢ > VI Phát hành giấy tờ có giá,VI Phát hành giấy tờ có giá,-,-,-,-,-,-,4.801.950,2.260.400,7.062.350,,,,,,,4801950.0,2260400.0,7062350.0
VII Các khoản nợ khác,NỘ PHẢI TRẢ > VII Các khoản nợ khác,VII Các khoản nợ khác,-,4.539.538,-,-,-,-,-,-,4.539.538,,4539538.0,,,,,,,4539538.0
Tổng nợ phải trả,NỘ PHẢI TRẢ > Tổng nợ phải trả,Tổng nợ phải trả,-,4.751.018,23.002.355,7.486.244,12.456.596,19.479.744,30.543.525,43.806.503,141.525.985,,4751018.0,23002355.0,7486244.0,12456596.0,19479744.0,30543525.0,43806503.0,141525985.0
Mức chênh nhạy cảm với lãi suất nội bằng,NỘ PHẢI TRẢ > Mức chênh nhạy cảm với lãi suất nội bằng,Mức chênh nhạy cảm với lãi suất nội bằng,1.851.314,1.323.825,997.608,1.548.694,3.345.517,633.998,1.313.366,1.064.945,12.079.267,1851314.0,1323825.0,997608.0,1548694.0,3345517.0,633998.0,1313366.0,1064945.0,12079267.0
Các cam kết ngoại bằng có tác động tới mức độ nhạy cảm với lãi suất của các tài sản và công nợ,Các cam kết ngoại bằng có tác động tới mức độ nhạy cảm với lãi suất của các tài sản và công nợ,Các cam kết ngoại bằng có tác động tới mức độ nhạy cảm với lãi suất của các tài sản và công nợ,-,-,-,-,-,-,-,-,-,,,,,,,,,
"Mức chênh nhạy cảm với lãi suất nội, ngoại bằng","Các cam kết ngoại bằng có tác động tới mức độ nhạy cảm với lãi suất của các tài sản và công nợ > Mức chênh nhạy cảm với lãi suất nội, ngoại bằng","Mức chênh nhạy cảm với lãi suất nội, ngoại bằng",1.851.314,1.323.825,997.608,1.548.694,3.345.517,633.998,1.313.366,1.064.945,12.079.267,1851314.0,1323825.0,997608.0,1548694.0,3345517.0,633998.0,1313366.0,1064945.0,12079267.0
