row_label_raw,row_label_full,col_0,"Huy động vốn và cho vay lại, kinh doanh chứng khoán nợ","Huy động vốn và cho vay lại, kinh doanh chứng khoán nợ_1",Kinh doanh chứng khoán vốn và góp vốn mua cổ phần,Kinh doanh chứng khoán vốn và góp vốn mua cổ phần_1,Khác,Khác_1,Hoạt động chung không phân bổ,Hoạt động chung không phân bổ_1,Tổng cộng,Tổng cộng_1,"numeric__Huy động vốn và cho vay lại, kinh doanh chứng khoán nợ","numeric__Huy động vốn và cho vay lại, kinh doanh chứng khoán nợ_1",numeric__Kinh doanh chứng khoán vốn và góp vốn mua cổ phần,numeric__Kinh doanh chứng khoán vốn và góp vốn mua cổ phần_1,numeric__Khác,numeric__Khác_1,numeric__Hoạt động chung không phân bổ,numeric__Hoạt động chung không phân bổ_1,numeric__Tổng cộng,numeric__Tổng cộng_1
,,,Kỳ này/Cuối kỳ,Kỳ trước/Dầu kỳ,Kỳ này/Cuối kỳ,Kỳ trước/Dầu kỳ,Kỳ này/Cuối kỳ,Kỳ trước/Dầu kỳ,Kỳ này/Cuối kỳ,Kỳ trước/Dầu kỳ,Kỳ này/Cuối kỳ,Kỳ trước/Dầu kỳ,,,,,,,,,,
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,,
I. Doanh thu,I. Doanh thu,I. Doanh thu,13.680.206,10.472.079,27.639,6.907,516.030,455.774,-,-,14.223.875,10.934.760,13680206.0,10472079.0,27639.0,6907.0,516030.0,455774.0,,,14223875.0,10934760.0
1. Doanh thu lãi,1. Doanh thu lãi,1. Doanh thu lãi,13.362.955,10.329.794,-,-,21.328,12.225,-,-,13.384.283,10.342.019,13362955.0,10329794.0,,,21328.0,12225.0,,,13384283.0,10342019.0
2. Doanh thu từ hoạt động đầu tư,2. Doanh thu từ hoạt động đầu tư,2. Doanh thu từ hoạt động đầu tư,317.251,142.285,27.639,6.907,-,-,-,-,344.890,149.192,317251.0,142285.0,27639.0,6907.0,,,,,344890.0,149192.0
3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,-,-,-,-,494.702,443.549,-,-,494.702,443.549,,,,,494702.0,443549.0,,,494702.0,443549.0
II. Chi phí,II. Chi phí,II. Chi phí,(11.003.760),(7.871.250),-,-,(192.032),(206.523),(1.827.845),(1.712.604),(13.023.637),(9.790.377),-11003760.0,-7871250.0,,,-192032.0,-206523.0,-1827845.0,-1712604.0,-13023637.0,-9790377.0
1. Chi phí lãi,1. Chi phí lãi,1. Chi phí lãi,(11.006.162),(7.836.442),-,-,-,-,-,-,(11.006.162),(7.836.442),-11006162.0,-7836442.0,,,,,,,-11006162.0,-7836442.0
2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,-,-,-,-,-,-,(45.336),(41.168),(45.336),(41.168),,,,,,,-45336.0,-41168.0,-45336.0,-41168.0
3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,2.402,(34.808),-,-,(192.032),(206.523),(1.782.509),(1.671.436),(1.972.139),(1.912.767),2402.0,-34808.0,,,-192032.0,-206523.0,-1782509.0,-1671436.0,-1972139.0,-1912767.0
Kết quả kinh doanh,Kết quả kinh doanh,Kết quả kinh doanh,2.676.446,2.600.829,27.639,6.907,323.998,249.251,(1.827.845),(1.712.604),1.200.238,1.144.383,2676446.0,2600829.0,27639.0,6907.0,323998.0,249251.0,-1827845.0,-1712604.0,1200238.0,1144383.0
Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,(152.568),(112.384),-,-,-,-,-,-,(152.568),(112.384),-152568.0,-112384.0,,,,,,,-152568.0,-112384.0
Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,2.523.878,2.488.445,27.639,6.907,323.998,249.251,(1.827.845),(1.712.604),1.047.670,1.031.999,2523878.0,2488445.0,27639.0,6907.0,323998.0,249251.0,-1827845.0,-1712604.0,1047670.0,1031999.0
