row_label_raw,row_label_full,col_0,Vốn góp/Vốn điều lệ,Thăng dư vốn cổ phần,Quỹ đầu tư phát triển,Quỹ dự phòng tài chính,Quỹ dự trữ bổ sung vốn điều lệ,Lợi nhuận sau thuế chưa phân phối,Cộng,numeric__Vốn góp/Vốn điều lệ,numeric__Thăng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Quỹ dự phòng tài chính,numeric__Quỹ dự trữ bổ sung vốn điều lệ,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,8.133.863,7.398,564,543.010,251.243,844.193,9.780.271,8133863.0,7398.0,564.0,543010.0,251243.0,844193.0,9780271.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,200.403,99.891,-,82.698,41.349,844.039,1.268.380,200403.0,99891.0,,82698.0,41349.0,844039.0,1268380.0
Tăng vốn trong năm (i),Tăng vốn trong năm (i),Tăng vốn trong năm (i),200.403,99.891,-,-,-,-,300.294,200403.0,99891.0,,,,,300294.0
Lợi nhuận tăng trong năm,Lợi nhuận tăng trong năm,Lợi nhuận tăng trong năm,-,-,-,-,-,844.039,844.039,,,,,,844039.0,844039.0
Trích bổ sung các quỹ từ lợi nhuận năm trước (ii),Trích bổ sung các quỹ từ lợi nhuận năm trước (ii),Trích bổ sung các quỹ từ lợi nhuận năm trước (ii),-,-,-,82.698,41.349,-,124.047,,,,82698.0,41349.0,,124047.0
Giảm trong năm,Giảm trong năm,Giảm trong năm,-,-,-,-,-,(210.880),(210.880),,,,,,-210880.0,-210880.0
Trích bổ sung các quỹ từ lợi nhuận năm trước (ii),Trích bổ sung các quỹ từ lợi nhuận năm trước (ii),Trích bổ sung các quỹ từ lợi nhuận năm trước (ii),-,-,-,-,-,(210.880),(210.880),,,,,,-210880.0,-210880.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,8.334.266,107.289,564,625.708,292.592,1.477.352,10.837.771,8334266.0,107289.0,564.0,625708.0,292592.0,1477352.0,10837771.0
